,Legislatura: I - neg,Legislatura: I - pos,Legislatura: II - neg,Legislatura: II - pos,Legislatura: III - neg,Legislatura: III - pos,Legislatura: IV - neg,Legislatura: IV - pos,Legislatura: V - neg,Legislatura: V - pos,Legislatura: VI - neg,Legislatura: VI - pos,Legislatura: VII - neg,Legislatura: VII - pos,Legislatura: VIII - neg,Legislatura: VIII - pos,Legislatura: IX - neg,Legislatura: IX - pos,Legislatura: X - neg,Legislatura: X - pos,Legislatura: XI - neg,Legislatura: XI - pos,Legislatura: XII - neg,Legislatura: XII - pos,Legislatura: XIII - neg,Legislatura: XIII - pos
0,duda ninguna,clase pasiva,pedimo separada,cosa parec,pedimo separada,torno ciento,pedir separada,respecto objetivo,hace casi,parec razon,vuelvo repetir,endeudamiento seguridad,quiero agradec,van impedir,doy reproducida,privativa libertad,doy formulada,debo recordar,reforma estructural,solo papel,puesto trabajo,empleo refier,ganancia poder,transaccion podemo,forma part,empleo referido
1,nombr centrista,parec tema,quisiera llamar,jornada cuarenta,solicito separada,dicho anteriorment,solicito separada,medida pueden,damo defendida,representant asociacion,nombr feder,manifestar acuerdo,efecto indicar,cuyo fine,doy formulada,quiero reiterar,derecho saber,labor quier,dato positivo,poder hablar,cort general,empleo reforma,quieren romper,manera justa,haber demostrado,empleo refier
2,libertad libertad,acuerdo consejo,juez part,vaya concluyendo,pide separada,esfuerzo important,solicita separada,prueba acceso,ayuda financiera,ocupen escaño,resto dictamen,problema fondo,congreso formula,tomar alguna,ilegalment militant,capit humano,hecho solo,ejercicio anterior,periodo ordinario,juez ruz,van permitir,empleo quiza,industria competitividad,presupuesto positivo,control consejo,empleo reforma
3,contestar nombr,separado letra,pido separada,veint minuto,terminar refier,produc incremento,papel mojado,proyecto europeo,acuerdo senado,vaya terminando,important esfuerzo,venido diciendo,ocupen escaño,urbi et,cultivo tabaco,proyecto tramo,cuerpo inspector,ciento alto,toda sinceridad,estudiar posibilidad,crea empleo,empleo region,mano tendida,docent investigador,hace mese,empleo region
4,ilustr compañero,manera correcta,termino seguida,corporacion derecho,pido separada,puesto marcha,hecho absolutament,proyecto establec,desgravacion impuesto,ninguna manera,efecto solicita,conseguido llegar,urgent feder,pesar dicho,pagar precio,tasa paro,debe aclarar,problema endeudamiento,crea empleo,cobertura desempleo,consecuencia proclamado,empleo reino,resto mundo,hablamo seguridad,digo creo,empleo reino
5,correspond ahora,somet texto,incluso caso,crisi financiera,piensa remitir,manera important,particular presentado,nombr proponent,ello solicitamo,recordar ssss,formula lui,ayuda part,conoc verdad,incremento paro,solucion habitacional,congreso medida,falta credibilidad,cambio modelo,creando empleo,acaban aprobar,alguna sido,empleo relacion,pasamo ahora,senda estabilidad,dolor sufrimiento,empleo relacion
6,estrictament necesario,podemo entend,arquitectura vivienda,consiguient desestimada,norma sanitaria,catalana pausa,vacacion semana,ejercicio poder,grave perjuicio,parec important,mardon nombr,pura sencillament,texto dictamen,antecesor cargo,pacto tinel,equilibrio territori,familia miembro,poner reliev,ir acabando,pobreza labor,hecho alusion,empleo relacionado,persona trabajando,materia beca,familia persona,empleo remunerado
7,cierta medida,subir tribuna,mal dicho,desarrollo libertad,manera alguna,tema plantea,intentar demostrar,toma decision,prueba selectividad,principio legalidad,proced toma,verdad cree,convien recordar,tan amabl,padr profesor,puesto marcha,tagua seopan,debe acabar,calidad seguridad,excusa crisi,llamado proced,empleo remunerado,transaccion presentada,escuchado consejo,devolucion calient,empleo relacionado
8,mejor servicio,texto texto,da circunstancia,procedent senado,respuesta tan,entidad asociativa,van pagar,risa aplauso,solicito separada,torno ciento,puedo dejar,lasagabast finalment,duda ninguna,pregunto hace,enorm gravedad,conformidad dispuesto,perdon diga,sector inmobiliario,acuerdo conmigo,dar cara,present dictamen,empleo realment,duda alguna,trabajar ciudadano,claro iba,agricultura pesca
9,correspond formulada,voten separado,pre sident,patrimonio sindic,contrato administrativo,part important,criterio aplica,cd pausa,termino inmediatament,puesto efectivament,debat artifici,pasar debat,vivienda libr,libertad conciencia,reconozca error,asunto tratar,dado conoc,liquidez empresa,texto dictamen,debat presupuestario,papeleta urna,ratificar convenio,puesto marcha,revertir recort,ninguna duda,acuerd convocatoria
