,Topic 1:,Topic 2:,Topic 3:,Topic 4:,Topic 5:,Topic 6:,Topic 7:,Topic 8:,Topic 9:,Topic 10:
0,servicio militar,guardia civil,vaya terminando,tiempo minuto,eskerrik asko,alta velocidad,pleno 20,texto dictamen,medio rural,reforma labor
1,consejo seguridad,nacion salud,impuesto renta,comunitat autònom,persona discapacidad,presupuesto ministerio,pleno 10,mu senador,agricultura pesca,mercado trabajo
2,comunidad internacion,cuerpo seguridad,impuesto sociedad,estat espanyol,niño niña,doy formulada,pleno 11,vuelta texto,agricultor ganadero,pacto toledo
3,marisc cifuent,fuerza cuerpo,fraud fiscal,grup parlamentari,arratsald on,vaya finalizando,pleno 25,disposicion transitoria,pasamo portavoc,tiempo parcial
4,ofici desarrollo,fuerza seguridad,renta persona,vaya concluyendo,egun on,cabrero palomar,pleno 24,senador bosqu,desarrollo rural,activa empleo
5,brecha salari,sanidad consumo,agencia tributaria,aquest moment,violencia machista,infraestructura ferroviaria,pleno octubr,sido retirada,incendio forestal,senador bri
6,senador navarret,cuerpo nacion,base impon,acord amb,pobreza infantil,infraestructura transport,pleno 22,ju dicial,propiedad intelectu,cuenta ajena
7,senadora julio,fuert protesta,obra publica,aquest sentit,mahaiburu jauna,gasto person,pre sidenta,senador bueso,desea intervenir,plan empleo
8,somet acto,privativa libertad,gener tributaria,senador mulet,catalana pro,senador cabrero,pleno 29,particular senador,pueda prestar,riesgo laboral
9,senador cia,cuerpo fuerza,tipo impositivo,nostr grup,enfermedad rara,contrato programa,pleno 23,28 36,sector pesquero,trabajador cuenta
10,mujer niña,fuert rumor,sistema tributario,pel fa,jaun andreok,canj nota,labra senador,senador bajo,autoriza acto,accident trabajo
11,militar obligatorio,pena privativa,impuesto valor,aquesta cambra,crisi sanitaria,presupuesto anterior,pleno noviembr,senador vendrel,obligars medio,contrato tiempo
12,general plazo,cuartel guardia,senador bel,tot això,on guztioi,transport ferroviario,pleno 27,senador aspuru,acto pueda,trabajador empresa
13,senadora castilla,senadora iparragirr,subida impuesto,hem presentat,asko mahaiburu,transport turismo,pleno abril,abr portavoc,sector agrario,contrato indefinido
14,gra senador,consejo interterritori,impuesto patrimonio,aquest ca,boneta piedra,cruz tenerif,diciembr de2000,san vicent,prestar consentimiento,contrato temporal
15,igualdad hombr,institucion penitenciaria,objetivo estabilidad,fin tot,diciembr 2022,paso nivel,marzo 2006,vicent 28,seguro agrario,siniestralidad labor
16,sahara occident,seguridad privada,tratamiento fiscal,jo crec,asko jauna,plan infraestructura,san baldomero,pasamo debatir,consentimiento obligars,trabajo tempor
17,ayuda humanitaria,oficina farmacia,nuevo impuesto,estem acord,inteligencia artifici,senador olivera,pleno marzo,cuesta san,organizacion agraria,empresa trabajo
18,defensa presentada,sistema nacion,pacto local,presid senyori,senatari jaun,ciento cultur,senador mur,tribun constitu,senador gangoiti,empleo establ
19,ar mada,estatuto marco,subir impuesto,correspond ahora,lucha violencia,cultur inmateri,noviembr 2005,amba inclus,industria turismo,reforma mercado
