,Topic 1:,Topic 2:,Topic 3:,Topic 4:,Topic 5:,Topic 6:,Topic 7:,Topic 8:,Topic 9:,Topic 10:,Topic 11:,Topic 12:,Topic 13:,Topic 14:,Topic 15:,Topic 16:,Topic 17:,Topic 18:,Topic 19:,Topic 20:,Topic 21:,Topic 22:,Topic 23:,Topic 24:,Topic 25:,Topic 26:,Topic 27:,Topic 28:,Topic 29:,Topic 30:
0,milit obligatori,junt portavoc,sistem nacional,sid contradich,dig cos,estatut autonom,izquierd unid,plan hidrolog,caj ahorr,guardi civil,plan viviend,consej europe,interpel urgent,vay conclu,rueg conclu,contrat temporal,cuent general,postal universal,pod judicial,tribunal defens,pesc aliment,retribu funcionari,acuerd dictam,vot emit,ministeri cienci,numer formul,baj impuest,jurid gratuit,des fij,derech educ
1,cens electoral,rueg guard,nacional salud,emple rural,ministr adel,regim local,unid inici,ministeri medi,proyect concesion,nacion unid,impuest valor,construccion europe,consecuent interpel,rueg vay,alta veloc,tiemp parcial,tribunal cuent,llamazar vasc,general pod,patrimoni sindical,sector agrari,capitul gast,articul acuerd,paus vot,ayud oficial,diput doñ,fond monetari,rueg termin,canari mardon,centr priv
2,privat libert,extraordinari comision,ministeri sanid,acog amnist,ateng cuestion,parlament canari,federal izquierd,parqu nacional,vasc esteb,cuerp segur,viviend proteg,conferent intergubernamental,mocion consecuent,pact toled,transport ferroviari,consej univers,recurs previ,diput vicepresident,ministeri fiscal,television autonom,agricultur pesc,credit ampliabl,comision paus,rechaz enmiend,tecnolog inform,pregunt dirig,monetari internacional,cuid paliat,fij paus,libert enseñ
3,proyect codig,celebr extraordinari,sistem sanitari,turism agend,rueg ateng,fiscal canari,confederal unid,hidrolog nacional,concesion credit,fuerz cuerp,viviend alquil,polit inmigr,acept rechaz,vay termin,general carreter,contrat trabaj,potest sancion,urgenci vot,organ pod,libert empres,cam agrari,presupuest program,conform dictam,numer vot,oficial desarroll,acat constitu,recuper econom,plural coscubiel,fij nombr,consej escol
4,pen privat,acuerd celebr,general sanid,canari river,ajuri ene,bas regim,present izquierd,segur nucl,compañ trasmediterrane,polic nacional,general tributari,minut tard,piens adopt,pension viuded,tren alta,contrat tiemp,relacion tribunal,urgent confederal,enjuici criminal,digital terrestr,sector pesquer,retribu basic,reanud mañan,enmiend vot,cienci innov,formul diput,objet deficit,registr civil,des interven,centr escolar
5,nuev codig,formul grup,atencion primari,pid cuestion,ningun respons,desarroll autonom,portavoz izquierd,tiemp conclu,intervien mixt,polic guardi,proteccion oficial,perspect financ,med piens,complement min,infraestructur ferroviari,autonom universitari,previ inconstitucional,dese tramit,juec magistr,seccion sindical,agricultor ganader,trafic empres,comision articul,enmiend mixt,comarc miner,dirig ministr,reduccion deficit,tos emit,aviacion civil,ministeri cultur
6,servici milit,formul numer,profesional sanitari,gasole profesional,rumor aplaus,conciert econom,izquierd verd,confeder hidrograf,entid financ,ayud humanitari,viviend proteccion,ciudadan europe,pas interpel,justici milit,line alta,inspeccion trabaj,control previ,proyect convalid,oficin judicial,horn vizcay,ministr agricultur,figur presupuest,articul conform,aprob dictam,sistem cienci,promet acat,balanz pag,asistent jurid,fij mixt,fracas escol
7,oficin cens,suficient diput,gast farmaceut,garr popul,ped dimision,reform estatutari,proposicion izquierd,hectometr cubic,plural sixt,segur nacion,polit viviend,tard reanud,consider proposicion,cient pension,plan transport,contrat aprendizaj,fielment oblig,uni homs,carrer judicial,television digital,organiz agrari,complement product,mañan suspend,articul vot,polit cientif,pas numer,sector exterior,vo tos,paus mixt,sistem educ
8,convencion vien,diput miembr,sanitari public,preci gasolin,romp españ,organiz territorial,defens present,polit agu,entid credit,legal internacional,ministeri viviend,constitu europe,defens mocion,pension minim,autop peaj,trabaj temporal,acto administr,ciudadan river,prision provisional,altos horn,aceit oliv,articul presupuest,manten text,vot telemat,socied inform,jurament promes,consolid fiscal,proteccion dat,fij debat,calid educ
9,castig pen,miembr diput,comision sanid,saur lasagabast,pact ajuri,proces autonom,verd izquierd,central nuclear,solvenci entidad,sadam husein,impuest sucesion,conclusion consej,expres acept,codig justici,red ferroviari,contrat formacion,garc alcañiz,consecuent convalid,proces penal,anonim laboral,segur agrari,presupuest dic,vien sen,restant enmiend,public investig,formul doñ,demand intern,paus vo,minim interprofesional,ayud estudi
