,Año: 1979 - neg,Año: 1979 - pos,Año: 1980 - neg,Año: 1980 - pos,Año: 1981 - neg,Año: 1981 - pos,Año: 1982 - neg,Año: 1982 - pos,Año: 1983 - neg,Año: 1983 - pos,Año: 1984 - neg,Año: 1984 - pos,Año: 1985 - neg,Año: 1985 - pos,Año: 1986 - neg,Año: 1986 - pos,Año: 1987 - neg,Año: 1987 - pos,Año: 1988 - neg,Año: 1988 - pos,Año: 1989 - neg,Año: 1989 - pos,Año: 1990 - neg,Año: 1990 - pos,Año: 1991 - neg,Año: 1991 - pos,Año: 1992 - neg,Año: 1992 - pos,Año: 1993 - neg,Año: 1993 - pos,Año: 1994 - neg,Año: 1994 - pos,Año: 1995 - neg,Año: 1995 - pos,Año: 1996 - neg,Año: 1996 - pos,Año: 1997 - neg,Año: 1997 - pos,Año: 1998 - neg,Año: 1998 - pos,Año: 1999 - neg,Año: 1999 - pos,Año: 2000 - neg,Año: 2000 - pos,Año: 2001 - neg,Año: 2001 - pos,Año: 2002 - neg,Año: 2002 - pos,Año: 2003 - neg,Año: 2003 - pos,Año: 2004 - neg,Año: 2004 - pos,Año: 2005 - neg,Año: 2005 - pos,Año: 2006 - neg,Año: 2006 - pos,Año: 2007 - neg,Año: 2007 - pos,Año: 2008 - neg,Año: 2008 - pos,Año: 2009 - neg,Año: 2009 - pos,Año: 2010 - neg,Año: 2010 - pos,Año: 2011 - neg,Año: 2011 - pos,Año: 2012 - neg,Año: 2012 - pos,Año: 2013 - neg,Año: 2013 - pos,Año: 2014 - neg,Año: 2014 - pos,Año: 2015 - neg,Año: 2015 - pos,Año: 2016 - neg,Año: 2016 - pos,Año: 2017 - neg,Año: 2017 - pos,Año: 2018 - neg,Año: 2018 - pos,Año: 2019 - neg,Año: 2019 - pos
0,derech democraci,text dictam,dej perfect,diput defend,contest interpel,pas reserv,desarroll econom,resolv problem,pid cuestion,enmiend sen,separ articul,rueg termin,acuerd deb,replic paus,pid separ,garc fonsec,represent puebl,problem desemple,pid separ,puest march,sid contradich,cort general,banc derech,acept rechaz,popul solicit,aprob dictam,popul solicit,econom internacional,conclu dic,sistem proteccion,efect conoc,ocup escañ,doctrin tribunal,rueg guard,rueg vay,boletin oficial,numer formul,saur rivadull,vot emit,segur conclu,vot emit,ministr esper,vot emit,sistem democrat,vot emit,proteccion naturalez,numer formul,ahor acab,vot emit,patriot patriot,sid vot,unid inici,doy reproduc,econom haciend,doy reproduc,plen cam,popul apoy,valor posit,apoy part,ultim años,continu interpel,junt portavoc,recort presupuestari,medi rural,proced llamamient,sector construccion,vot emit,generalitat valencian,vot emit,salg adel,vot emit,da formul,vot emit,volunt polit,confederal unid,debat investidur,vot emit,moment eleg,vot emit,defens interes,ministr adel,segu trabaj
1,correspond ahor,clas pasiv,constitu cuant,llam atencion,desarroll interpel,tom consider,dud ningun,acuerd autonom,solicit inform,situacion encontr,banc derech,banc izquierd,ped separ,junt portavoc,rog president,hac referent,solicit somet,tos emit,apoy proposicion,disciplin intervencion,med piens,pued asegur,libr registr,alto nivel,somet resolu,sanid consum,med piens,comit expert,conclu minut,enmiend total,van dar,formul excmo,celebr eleccion,canari mardon,numer formul,termin debat,vot emit,esper respuest,rueg vay,interpel nombr,parec logic,tod enmiend,numer formul,pued volv,rueg conclu,declar actuacion,quier agradec,conclu conclu,nombr popul,mart popul,inform diput,pued hab,doy formul,ciudadan ciudadan,derech replic,hac años,formul figur,conferent sectorial,famili miembr,pus march,doy formul,caract general,delit vid,merc trabaj,congel pension,algun tip,econom competit,materi funcion,deficit public,popul andaluc,energ turism,ministr valor,quier dec,unid izquierd,creacion emple,parlament europe,jos ignaci,present transaccional,asunt exterior,pod continu,mixt alli,rosell aguil
2,alianz popul,cualqui cas,vot emit,somet seguid,dese uso,algun maner,interpel correspond,codig penal,banc derech,tod seri,protest banc,interes nacional,cre articul,cre hac,sistem integr,van dirig,remit cam,hac referent,solicit somet,des fij,ped separ,pon manifiest,opinion merec,paus mixt,interes ciudadan,garc margall,cuestion rumor,polit industrial,pregunt med,inici legisl,campañ electoral,conjunt med,contribu mejor,portavoz popul,vot emit,hab present,present defens,dic asi,numer formul,esper respuest,nombr federal,parlamentari des,pesc aliment,pued ten,numer formul,parec normal,cultur deport,polit bec,numer formul,cre deb,sab cifr,terror internacional,respond interpel,tiemp termin,doy formul,fiscal audienci,algun respons,defens proposicion,tagu seop,puest march,doy reproduc,segu trabaj,españ necesit,activ econom,tram corrupcion,aprob cam,diput ministr,amnist fiscal,diput ministr,sub tas,quier dec,solicit president,creacion emple,futur pension,numer vot,españ recuerd,part ahi,proyect colect,ministr adel,parec sid,beitialarrangoiti lizarrald,cas ciudadan
3,democrat vot,ministeri educ,dud ningun,justici milit,contest nombr,larg debat,interpel formul,tom med,pretend defend,jurid penal,juici popul,garc amig,polit internacional,mism tiemp,mejor puert,dictam comision,debat presupuest,mixt agrup,sid contradich,cualqui tip,debat parlament,consej europe,solicit separ,enmiend popul,popul quier,paus vot,deb rectific,garc margall,insegur ciudadan,contest interpel,medi pon,cas concret,cumpl plaz,parec razon,nombr popul,papel hag,rueg vay,segu dic,present defens,funcion parlament,rueg vay,tiemp asign,mism tiemp,aun asi,pesc aliment,cuestion dij,vot emit,cuent secret,alianz atlant,deb ir,doy formul,desarroll econom,pid ampar,lleg acuerd,celebr comision,unid españ,amenaz muert,turism comerci,sistem pension,interpel urgent,rued prens,manten emple,reorden sector,polit fiscal,pos moren,polit activ,conoc perfect,futur pension,desp colect,consegu nadi,reform tributari,valor inform,articul constitu,bas articul,gan eleccion,materi educ,industri competit,trabaj transaccional,acuerd convocatori,formul intervien,derog marz,formul grup
4,mism razon,campañ electoral,nombr centrist,segur jurid,interpel formul,respuest recib,gust sab,reconoc derech,popul apoy,garc agudin,med piens,entrar tem,pid cuestion,banc izquierd,manten total,junt portavoc,acept izquierd,centr public,cuand piens,present part,contrat sigl,torn cient,propi tiemp,aprob dictam,super crec,comision mixt,fij popul,vall lersundi,valor polit,rueg guard,ministr razon,rueg guard,explic explic,transport medi,rueg conclu,articul dic,debat part,vicepresident declar,present nombr,tod cos,fij nombr,enmiend sid,rueg guard,present seccion,nombr popul,reactor nucl,interpel urgent,golp baj,tod intervencion,acab dic,intervencion brev,años anterior,articul alusion,ministeri medi,hor cuart,acuerd celebr,quier aclar,quier record,sindicat policial,exterior cooper,tarif electr,garc tizon,comision nacional,proteccion desemple,emple destru,desgrav fiscal,aliment medi,parec irrespons,creacion emple,seccion educ,diput doñ,ministr hac,puest march,mocion aprob,reform organ,adelant hor,dud algun,estrategi integral,creacion emple,guard adel,vot emit,tod cuestion
5,general numer,hac referent,aprob articul,numer dic,manch oriental,central sindical,señal intervencion,econom haciend,vay mejor,banc izquierd,grav error,tiemp minut,popul present,enorm esfuerz,relacion internacional,brav lagun,levant man,product interior,ped separ,respect situacion,falt medi,brav lagun,popul solicit,especial agrari,habl clar,pronunci palabr,imped sig,rueg guard,dam defend,parec import,solicit president,cient cient,recort presupuestari,libert amortiz,consecuent aprob,creid entend,plen reanud,manifest acept,rueg guard,perspect financ,nombr popul,nombr ministr,rueg conclu,ministr escuch,quier destac,desarroll tecnolog,afili segur,gust respond,nombr vasc,hurt debat,viii legislatur,parec razon,cas montill,ministr adel,retir palabr,merec pen,van dar,agradec grup,emple net,dar respuest,rog guard,sigl xxi,ministeri foment,objet fundamental,javi barrer,pon march,plen cam,doy formul,cultur deport,cam parlament,diput ministr,atend neces,pag deud,solicit comparecent,pregunt dirig,reform laboral,creacion emple,moren bust,popul adel,guijarr garc,present popul,adopt med
6,nombr centrist,presupuest general,interpel formul,somet text,grand cuestion,centr democrat,autonom rioj,polit sanitari,abastec agu,lleg acuerd,cuestion trat,sen articul,jef servici,pon dud,ped separ,autonom local,agrup represent,garc margall,cuart quint,part intervencion,explic nombr,dictam comision,aplaus escañ,relacion tem,intencion aunqu,sub tribun,explic dar,moment determin,termin cambi,aprob dictam,solicit separ,garc fonsec,modif estatutari,sistem sanitari,enmiend numer,propi represent,cuy defens,dec cos,uni valencian,result debat,text interpel,fuerz polit,equilibri presupuestari,pag car,rueg vay,ped apoy,ten cuent,confund interes,nombr federal,presunt asesin,alemani rein,adel ministr,sab quier,pesc aliment,coordin materi,dud algun,abiert puert,gan eleccion,sig resolv,hech referent,dej lad,pas examin,engañ tod,polit iguald,mal gestion,medi rural,deficit public,plan españ,energ turism,valor hac,numer vot,cam hac,respuest penal,form clar,segu trabaj,grup present,aliment medi,can leal,agenci estatal,diput ministr,vicepresident ministr,numer vot
7,ultim intervencion,grup parlamentari,pec barb,centr democrat,pec barb,asi pues,adquisicion material,fond public,cuestion enmiend,numer mixt,eleg librement,afirm hech,doy defend,tiemp minut,president permit,colegi profesional,despues tramit,comision nacional,trat cuestion,rechaz enmiend,rueg dej,unid inici,investig sociolog,hac tiemp,conclusion dictam,trabaj comision,pued situacion,fuerz segur,verd termin,divers grup,merc vin,pued vot,polit hech,proyect codig,rueg guard,creacion comision,consecuent aprob,objet pid,formul opinion,letr numer,numer formul,debat mocion,interpel urgent,hac alusion,present defens,bibliotec nacional,cualqui cas,compr viviend,rueg conclu,asamble madr,manifest enmiend,ningun dud,bomb platill,tiemp conclu,empres dej,españ plural,doñ magdalen,derech ciudadan,termin ministr,conflict interes,ven habl,pued asegur,pid aclar,turism comerci,fiscal anticorrupcion,aument cient,pon ejempl,niñ niñ,diput doñ,formul distint,situacion econom,herenci recib,pregunt dirig,fond buitr,cort general,nadi solicit,cultur deport,asi pas,mare adel,pas interpel,extraordinari comision,cort iguald
8,quier uso,pas exam,articul vot,plant sen,septim pregunt,quier dec,jur acat,diput brevement,expropi rumas,deud cort,sincer cre,tom decision,pued vot,distint grup,federal alemani,patrimoni sindical,ped separ,mism tiemp,cam dialog,administr central,cuerp mutil,atencion primari,funcion asistent,ponenci comision,criteri aplic,polit general,tribun defend,des fij,anterior legislatur,portavoz popul,ayud alimentari,formul med,dar impresion,capital priv,trabaj asunt,form contrat,expres acept,acept popul,expres acept,cerc nombr,rueg guard,consej consult,part ahi,med concret,cultur deport,diferent ocasion,des fij,acept propuest,guard adel,debat presupuest,talant dialog,portavoz popul,pagin web,tem relacion,fij popul,poder public,final fij,autonom personal,umbral pobrez,merc trabaj,determin grup,presion fiscal,doy formul,pon reliev,sentenci audienci,polic guardi,diput doñ,grav acus,bas dat,dich respect,organ pod,ciudadan ciudadan,mism tiemp,capital human,intervien mixt,van ten,diput doñ,polic guardi,quinc años,cienci investig,campuzan canades,objet deficit
9,preced uso,ningun tip,proced articul,separ numer,interpel señal,segu manten,debat comision,jurisdiccion contabl,fuert rumor,nacion unid,anterior rumor,numer minor,mism form,sen articul,trat habl,sentenci tribunal,titul individual,lleg acuerd,intervencion portavoz,moment determin,dec portavoz,corpor local,formul tod,administr central,baj custodi,cam aprob,dias despues,hech referent,cam dich,diput permanent,busc formul,sistem sanitari,ministr import,puest manifiest,tip interes,sab dond,interpel urgent,decision men,nombr mixt,falt polit,sid present,quier particip,tribunal cuent,quier oir,polit centr,ir conclu,guard adel,nadi cre,nombr mixt,tra cam,pod acept,interpel urgent,mañan mañan,polic guardi,dispon minut,crecimient econom,eta batasun,asi pues,cas cas,pued asegur,hac fot,deb acab,cre valor,recuper econom,quier explic,nombr comision,pregunt dirig,tan necesit,plen cam,sid registr,reform estructural,busc emple,cre emple,public interes,escuch orador,mixt creacion,popul apoy,ministr hac,medi public,dir cos,minut comenz,popul ciudadan
