,Topic 1:,Topic 2:,Topic 3:,Topic 4:,Topic 5:,Topic 6:,Topic 7:,Topic 8:,Topic 9:,Topic 10:,Topic 11:,Topic 12:,Topic 13:,Topic 14:,Topic 15:,Topic 16:,Topic 17:,Topic 18:,Topic 19:,Topic 20:,Topic 21:,Topic 22:,Topic 23:,Topic 24:,Topic 25:,Topic 26:,Topic 27:,Topic 28:,Topic 29:,Topic 30:
0,nuev disposicion,entes catalan,separ numer,plen 25,parlamentari abaj,crisis sanitari,voluntari embaraz,87 senador,consej polit,cultural inmaterial,desarroll altern,presupuest seccion,memori histor,hidrolog nacional,pod judicial,aquest moc,senador conclu,copi priv,vay termin,agrup dament,particul numer,entes pel,corredor mediterrane,reform laboral,centr public,mu senador,violenci gener,mare senador,escañ popul,mahaiburu jaun
1,vay finaliz,catalan progres,separ articul,plen noviembr,conveni econom,pobrez energet,sexual reproduct,expon interpel,financi local,accesibil cognit,plan min,presupuest ministeri,puebl saharaui,plan hidrolog,juec magistr,comunitats autònom,complement min,canon digital,emit 262,duplic senador,portavoc mixt,pel progres,inteligent artificial,activ emple,centr concert,senador chas,violenci machist,lengu regional,protest escañ,jaun andreok
2,modif apart,uni senador,inconvenient vot,plen 14,abaj firmant,enfermedad rar,salud sexual,comision proyec,gas efect,deneg hac,plan carbon,ped separ,sah occidental,doy formul,organ pod,illes balears,pid pa,movil reduc,sistem universitari,conjunt asent,pas particul,progres cataluny,28 36,merc laboral,promet acat,interpel nombr,victim violenci,87 reglament,escañ parl,senatari jaun
3,enmiend finaliz,popul senador,tacion separ,1999 um,sector pesquer,transicion energet,interrupcion voluntari,interpel tiemp,sistem electr,vet agrup,senador bidegur,gast corrient,vall caid,pact agu,libert sexual,tots els,etxan varel,senador ponc,univers priv,senador jur,vot separ,autoriz acto,vicent 28,cre emple,centr priv,senador alegr,luch violenci,postal universal,aplaus escañ,viviend proteg
4,plaz present,paus senador,rechaz seguid,nacional galeg,chas ministr,sostenibil sistem,senador castellv,inmacul bonet,energ electr,patrimoni inmaterial,senador saavedr,present seccion,polit cooper,polit hidraul,judicial numer,estat espanyol,conform dic,entidad gestion,vot emit,roy tiemp,dan aprob,asent paus,institu defensor,reanud diecis,prest acat,rueg conclu,cuid paliat,regional minoritari,fuert protest,ez da
5,adicion nuev,paus grup,originari manifest,bloqu nacional,ministr senador,baj iva,sindrom down,vicepresident senador,emision gas,re text,comarc miner,capitul gast,justici repar,escañ gr,codig penal,amb els,conform inform,116 pag,senador vay,baj ton,rechaz particul,acto pued,mar menor,diecis hor,educ especial,senador dominguez,lengu sign,87 minut,escañ popu,polit viviend
6,supresion apart,cias senador,seguid numer,2002 um9,abaj fir,sostenibil financ,vicepresident vicepresident,animal compañ,fiscal financ,vasc deneg,model turist,supuest general,penal internacional,hectometr cubic,permanent revis,els seus,cuerp guardi,especi exot,univers deb,vay ter,portavocespor mixt,consent oblig,cuest san,amnist fiscal,inspeccion educ,dominguez pos,trasl enmiend,senador angusti,escañ parlam,on mahaiburu
7,acto consider,mixt paus,ambas in,plen 19,enmall deriv,atencion dependent,agu orihuel,expedient nacional,luch incendi,tar consent,plan viv,presupuest auster,victim franquism,formul termin,judicial efect,acord amb,personal guardi,person consumidor,palabr catalan,jefatur local,paus result,paus aprob,23 00,emple establ,admision alumn,nombr ministr,previ sancion,supresion vis,fuert rumor,bait ere
8,somet acto,uni paus,unas fuerz,plen 24,125 reglament,regl gast,juzg privat,portavoc part,efect invernader,deneg grup,ave gran,presupuest consolid,plan paz,gr upo,general pod,uni europe,defens mixt,pesc turism,autor cit,dent sol,re enmiend,oblig medi,28008 madr,minut reanud,27 constitu,public trans,violenci mujer,87 tiemp,aplaus esca,jaun arratsald
9,entrad cam,catalan pro,trop marin,plen abril,firmant ampar,may 2022,gunt senador,interven deneg,plan energet,33 interpel,rueg guard,total presupuest,human derech,plan cuenc,prision permanent,aquest sentit,investig sociolog,especial respet,emit 264,dobl tiemp,popul correspondient,aquest moment,rivadeneyr madr,mayor 45,educ españ,public urba,tal dispon,portavoz converg,rumor escañ,egin beh
