,Topic 1:,Topic 2:,Topic 3:,Topic 4:,Topic 5:,Topic 6:,Topic 7:,Topic 8:,Topic 9:,Topic 10:,Topic 11:,Topic 12:,Topic 13:,Topic 14:,Topic 15:,Topic 16:,Topic 17:,Topic 18:,Topic 19:,Topic 20:,Topic 21:,Topic 22:,Topic 23:,Topic 24:,Topic 25:,Topic 26:,Topic 27:,Topic 28:,Topic 29:,Topic 30:
0,grup parlamentari,grup parlamentari,nacional salud,fraud fiscal,part polit,estatut autonom,izquierd unid,medi ambient,banc españ,guardi civil,codig penal,consej europe,empres public,pact toled,rueg conclu,formacion profesional,tribunal constitucional,hac años,pod judicial,asunt exterior,ministeri agricultur,presupuest general,dictam comision,vot emit,nuev tecnolog,numer formul,polit econom,administr public,salari minim,defensor puebl
1,cualqui cas,diput permanent,sistem nacional,luch fraud,respons polit,corpor local,tom consider,plan hidrolog,caj ahorr,nacion unid,exposicion motiv,parlament europe,consecuent interpel,vay conclu,alta veloc,puest trabaj,articul constitu,hac falt,consej general,libert expresion,sector agrari,impuest rent,disposicion adicional,paus vot,puest march,diput doñ,crecimient econom,funcion public,des fij,sistem educ
2,hac referent,junt portavoc,sistem sanitari,impuest sociedad,comision investig,competent exclus,unid inici,obras public,entidad financ,derech human,derech fundamental,econom europe,sector public,pod adquisit,ministeri foment,reform laboral,tribunal cuent,ahor mism,general pod,quier dec,pesc aliment,gast public,paus vot,rechaz enmiend,cienci tecnolog,lengu oficial,deficit public,emple public,minim interprofesional,ministeri educ
3,cre deb,izquierd plural,ministeri sanid,agenci tributari,opinion public,administr central,consider proposicion,cambi climat,sistem financier,fuerz armad,text altern,comision europe,mocion consecuent,rueg vay,servici public,merc trabaj,sentenci tribunal,sub tribun,administr justici,unid pod,polit agrari,proyect presupuest,vot emit,numer vot,administr public,pregunt dirig,pequeñ median,funcionari public,trabaj autonom,educ cienci
4,grup cam,segur vial,asistent sanitari,sub impuest,asum respons,sistem financi,federal izquierd,parqu nacional,merc valor,cuerp segur,segur jurid,polit exterior,mocion present,fond reserv,transport ferroviari,polit activ,cort general,seman pas,tribunal suprem,aplaus banc,econom europe,person fisic,numer articul,enmiend vot,investig desarroll,acat constitu,creacion emple,altos carg,estatut trabaj,gobern civil
5,lleg acuerd,articul reglament,sanid consum,reform fiscal,sistem democrat,fuerz polit,proposicion present,ministeri medi,polit viviend,fuerz cuerp,present proyect,construccion europe,servici public,sistem public,transport aere,merc laboral,cuent general,mocion censur,fiscal general,derech huelg,agricultur pesc,increment cient,enmiend present,defens enmiend,ultim años,junt electoral,median empres,servici public,ministeri trabaj,centr public
6,algun maner,interpel urgent,sanid public,person discapac,campañ electoral,reform estatut,present proposicion,hidrolog nacional,credit extraordinari,polit exterior,codig civil,rein unid,director general,pension minim,tren alta,negoci colect,poder public,lleg acuerd,ministeri fiscal,confederal unid,cam agrari,econom haciend,disposicion transitori,rest enmiend,interes general,formul diput,crisis econom,administr general,general segur,educ cultur
7,solucion problem,rueg guard,salud public,grand empres,tom decision,financi autonom,proposicion popul,energ renov,econom haciend,segur ciudadan,articul constitu,polit europe,interpel urgent,sistem pension,obras public,contrat temporal,articul dic,solucion problem,ministeri justici,ningun tip,incendi forestal,rent person,apart articul,enmiend sen,consej ministr,ministr president,ultim años,central sindical,prestacion desemple,centr penitenciari
8,deb ten,extraordinari comision,list esper,amnist fiscal,fuerz polit,parlament cataluñ,hombr mujer,plan nacional,comision nacional,ministeri interior,tramit proyect,tom decision,present mocion,sistem segur,plan director,tiemp parcial,propi constitu,llev años,organ pod,boletin oficial,sector pesquer,presupuest ministeri,disposicion final,enmiend mixt,socied inform,lengu cooficial,product interior,puest trabaj,trabaj trabaj,iguald oportun
9,tan import,plen cam,servici public,baj impuest,altos carg,competent materi,bloqu nacional,domini public,nacional merc,asunt exterior,articul codig,consej ministr,consej administr,public pension,transport mercanc,creacion emple,text constitucional,treint años,enjuici criminal,voluntari embaraz,medi rural,presion fiscal,aprob articul,enmiend present,consej superior,iglesi catol,interior brut,servici administr,derech trabaj,materi educ
10,resolv problem,celebr extraordinari,atencion primari,tom med,director general,nacional vasc,present enmiend,segur nucl,plan viviend,consej segur,enmiend total,conferent intergubernamental,empres priv,vay termin,madr barcelon,activ emple,constitu articul,hac tiemp,audienci nacional,interrupcion voluntari,fond compens,impuest sociedad,articul paus,proyect organ,socied civil,dirig ministr,deud public,contrat administr,regim general,polit educ
11,deb hab,acuerd celebr,sanitari public,ultim años,carg public,administr local,nacional galeg,energ nucl,viviend alquil,ministeri defens,hac referent,econom monetari,seman pas,pension viuded,autop peaj,contrat indefin,dic articul,ultim años,juec magistr,banc derech,aceit oliv,ministeri haciend,enmiend sen,enmiend popul,investig cientif,lengu propi,gast public,boletin oficial,conveni colect,institu penitenciari
12,mism tiemp,formul grup,gast farmaceut,sector turist,codig penal,autonom canari,present popul,consej segur,consumidor usuari,luch terror,proyect present,asunt exterior,television public,sub pension,estudi inform,cre emple,recurs inconstitucional,ciudadan ciudadan,tribunal superior,direccion general,desarroll rural,ministeri econom,enmiend articul,enmiend numer,plan nacional,president portavoz,estabil presupuestari,prest servici,regim especial,derech educ
13,pued ten,ocup escañ,servici sanitari,pag impuest,dar explic,autonom competent,grup parlamentari,ministeri obras,tip interes,fuerz segur,ejercici derech,merc interior,ente public,pension contribut,inversion infraestructur,polit emple,propi tribunal,ver com,superior justici,ocup president,agricultor ganader,gast corrient,defend enmiend,progres democraci,quier destac,electoral central,cre emple,reform administr,canari mardon,calid enseñ
14,ten cuent,patrimoni histor,general sanid,sub preci,luch corrupcion,entidad local,present izquierd,polit energet,entidad credit,derech libertad,present total,constitu europe,television priv,perd pod,general carreter,plan emple,tribunal suprem,quier habl,comision justici,ministeri asunt,adopt med,organ autonom,articul articul,enmiend total,administr general,vergenci uni,situacion econom,proced administr,relacion laboral,centr priv
15,servici milit,ministeri cultur,gast sanitari,sub iva,financi part,competent autonom,apoy proposicion,sector electr,acces viviend,respet derech,entrad vigor,fond cohesion,apoy mocion,quier dec,plan general,relacion laboral,establec articul,pon march,enjuici civil,banc izquierd,consej ministr,corpor local,conform dictam,sen proyect,ayud desarroll,promet acat,tip interes,organiz sindical,trabaj segur,ministeri cultur
16,hech referent,garc fonsec,consej interterritorial,parais fiscal,proces electoral,disposicion adicional,present inici,interes general,proteccion oficial,derech internacional,articul proyect,consej europ,public priv,adquisit pension,presupuest general,larg duracion,constitu dic,tod españ,contenci administr,cualqui cas,explot agrari,present presupuest,enmiend numer,acept rechaz,cooper desarroll,libert religi,puest trabaj,administr central,trabaj cuent,cultur deport
17,grup polit,numer suficient,pobrez infantil,clas medi,trafic influenci,regim econom,aprob proposicion,energ electr,ministeri econom,victim terror,reform codig,merc unic,radi television,revaloriz pension,infraestructur transport,formacion continu,interes general,cuarent años,justici interior,centr democrat,ultim años,debat presupuest,tod enmiend,aprob enmiend,desarroll tecnolog,educ cultur,sector public,tod administr,sistem segur,mejor calid
18,aquel moment,formul numer,ministr sanid,defens competent,deb hab,autonom cataluñ,exposicion motiv,impact ambiental,preci viviend,defens nacional,insegur jurid,fond estructural,sector priv,complement min,infraestructur ferroviari,foment emple,competent exclus,da igual,tutel judicial,ningun moment,comision agricultur,billon peset,respect articul,vot telemat,form part,jurament promes,administr public,servici milit,sistem proteccion,escuel public
