,Topic 1:,Topic 2:,Topic 3:,Topic 4:,Topic 5:,Topic 6:,Topic 7:,Topic 8:,Topic 9:,Topic 10:,Topic 11:,Topic 12:,Topic 13:,Topic 14:,Topic 15:,Topic 16:,Topic 17:,Topic 18:,Topic 19:,Topic 20:,Topic 21:,Topic 22:,Topic 23:,Topic 24:,Topic 25:,Topic 26:,Topic 27:,Topic 28:,Topic 29:,Topic 30:
0,senador barquero,cuenta gener,renta persona,comunitat autònom,catalana pro,desarrollo rural,pleno 13,poder judici,entesa senador,empresa trabajo,bunal constitucion,pasamo portavoc,guardia civil,propiedad intelectu,vaya concluyendo,senadora rivero,eskerrik asko,senadora boneta,vaya terminando,persona discapacidad,sistema universitario,entesa pel,labra senador,senador varela,inteligencia artifici,parqu nacion,penal internacion,nacion salud,reforma labor,lengua cooficial
1,industria militar,relacion tribun,tipo impositivo,estat espanyol,vivienda protegida,doy formulada,diciembr de1999,gener poder,esper momento,balanza fiscal,pedimo separada,mu senador,cuerpo seguridad,permanent revis,militar obligatorio,abr portavoc,arratsald on,cia senador,autoriza acto,violencia machista,sistema educativo,texto remitido,corredor mediterrani,28 36,diciembr 2022,parqu nacional,ofici desarrollo,sistema nacion,activa empleo,senador lavilla
2,presupuesto defensa,tribun cuenta,base impon,grup parlamentari,senador mur,vaya finalizando,diciembr de2000,consejo gener,proced acta,senador vilajoana,termino presi,catorc hora,fuerza cuerpo,escaño gr,125801961 issn,tiempo quinc,egun on,senador albistur,acto pueda,enfermedad rara,secundaria obligatoria,vuelta texto,decret llei,san vicent,crisi sanitaria,red natura,lesa humanidad,consejo interterritori,diciembr 2012,toda lengua
3,residuo radiactivo,fuert protesta,fraud fiscal,aquest moment,escaño parla,sector agroalimentario,ciento producto,juec magistrado,comision proyecto,senador herranz,exclusiva comunidad,minuto reanuda,cuerpo nacion,consumidor usuario,issn 2172,mocion consecuencia,mahaiburu jauna,portavoc senador,prestar consentimiento,infancia adolescencia,comunidad educativa,marisc cifuent,fa poc,vicent 28,junio 2021,ministerio medio,cort penal,cuidado paliativo,comarca minera,lengua regional
4,senador castellana,formular senador,publica urba,acord amb,vivienda alquil,sector agrario,ne peseta,superior justicia,senador arrieta,aquest project,consejo regulador,guient formula,cuartel guardia,gr upo,servicio militar,senador alegr,jaun andreok,re chazada,pueda prestar,brecha salari,administracion educativa,senador navarret,crisi econòmica,23 00,abril 2021,natura 2000,voluntaria embarazo,objetivo estabilidad,pacto toledo,europea lengua
5,especial armamento,mixta relacion,gener tributaria,aquest sentit,senador aleu,cultur inmateri,millonesd peseta,justicia gratuita,senador barahona,re pasamo,viña vino,da defendida,nacion guardia,defensa consumidor,pueden agrupadament,pleno tratado,on guztioi,boneta piedra,asentimiento autoriza,violencia mujer,calidad enseñanza,somet acto,segl xxi,28008 madrid,mayo 2022,medio am,desaparicion forzada,regla gasto,empleo establ,regional minoritaria
6,central nuclear,tribun jurado,puesto renta,nostr grup,senador bonet,reforma ocm,diciembr 2001,oficina judici,anterior celebrada,87 minuto,exclusiva materia,suspend tard,cuerpo guardia,canon digit,2172 9794,internacional remitido,asko mahaiburu,cia senadora,acuerdo reino,mujer niña,enseñanza privada,pasamo defensa,aquesta crisi,senador cia,12 000,red parqu,tie senador,presupuestaria sostenibilidad,parado larga,senador blesa
7,lasfuerza armada,rumor protesta,citado anterioridad,pel fa,octubr 2007,seguro agrario,ocupa pr,tribun superior,industria comercio,balanc fiscal,competencia exclusiva,denegacion hace,cuerpo fuerza,abrimo portavoc,pleno httpwwwsenado,senador chivit,asko jauna,correspond ahora,reino marrueco,mujer hombr,ayuda estudio,conform dictamen,poder adquisitiu,rivadeneyra madrid,mayo 2023,protocolo kioto,acacio collado,interterritori sistema,contrato tiempo,senador bri
8,industria defensa,proces penal,reforma impuesto,aquesta cambra,entesa cata,red transeuropea,eu ro,audiencia provinci,nombr fomento,pesca turismo,senadora castel,fundacion bancaria,gener guardia,copia privada,ute alcañiz,senador bellido,senatari jaun,senador otamendi,constitutivo acuerdo,igualdad mujer,comunidad universitaria,senador muñoz,estem davant,imprim rivadeneyra,pandemia covid,ambient medio,pasamo disposicion,interterritori salud,ahorro eficiencia,uso lengua
9,escala media,postal univers,seguro vida,tot això,escaño parlamenta,explotacion familiar,general delestado,secretario judicial,cazali entesa,radio digit,van halen,fuert prolongado,naturaleza militar,derecho autor,preparada ute,pasa mo,ez da,senador aspuru,canj nota,persona sorda,preparatoria constitutiva,proyecto entrada,salut mental,senador bosqu,factura luz,govern ill,ayuda ofici,carlo iii,tiempo parcial,debe terminar
