,Topic 1:,Topic 2:,Topic 3:,Topic 4:,Topic 5:,Topic 6:,Topic 7:,Topic 8:,Topic 9:,Topic 10:,Topic 11:,Topic 12:,Topic 13:,Topic 14:,Topic 15:,Topic 16:,Topic 17:,Topic 18:,Topic 19:,Topic 20:,Topic 21:,Topic 22:,Topic 23:,Topic 24:,Topic 25:,Topic 26:,Topic 27:,Topic 28:,Topic 29:,Topic 30:
0,milit obligatori,junt portavoc,nacional salud,amnist fiscal,trafic influenci,estatut autonom,izquierd unid,plan hidrolog,plan viviend,guardi civil,derech penal,consej europe,television priv,vay conclu,rueg conclu,contrat temporal,tribunal constitucional,urgent mixt,pod judicial,aplaus banc,sector agrari,bas impon,aprob articul,rechaz enmiend,autor portuari,numer formul,fond monetari,funcion public,salari minim,defensor puebl
1,objecion concienci,rueg guard,sistem nacional,pobrez energet,corrupcion polit,parlament canari,unid inici,ministeri medi,viviend alquil,nacion unid,proyect codig,parlament europe,television digital,rueg vay,alta veloc,contrat indefin,cuent general,postal universal,general pod,voluntari embaraz,pesc aliment,gast personal,articul paus,numer vot,ministeri cienci,diput doñ,monetari internacional,patrimoni sindical,des fij,educ cienci
2,objetor concienci,extraordinari comision,sistem sanitari,grand fortun,inform privilegi,conciert econom,federal izquierd,hidrolog nacional,entidad credit,derech human,jurid proteg,construccion europe,radiotelevision public,vay termin,transport ferroviari,consej univers,recurs previ,urgent interpel,administr justici,interrupcion voluntari,agricultur pesc,rent person,conform dictam,enmiend vot,ayud oficial,pregunt dirig,crecimient econom,funcionari civil,minim interprofesional,centr penitenciari
3,parlamentari cre,celebr extraordinari,ministeri sanid,sector automovil,herri batasun,reform estatutari,present izquierd,segur nucl,proteccion oficial,fuerz cuerp,patri potest,conferent intergubernamental,radi television,sub pension,tren alta,autonom universitari,constitucional dic,urgent mocion,ministeri fiscal,banc derech,cam agrari,respect presupuest,comision paus,enmiend mixt,oficial desarroll,acat constitu,econom creacion,declar parqu,canari mardon,escuel public
4,derech objecion,acuerd celebr,atencion primari,sector automocion,ministr adel,fiscal canari,izquierd verd,energ nucl,viviend proteccion,polic guardi,privat libert,constitu europe,television autonom,revaloriz pension,general carreter,contrat tiemp,previ inconstitucional,urgent federal,organ pod,sexual reproduct,sector pesquer,presupuest program,articul conform,vot telemat,socied inform,formul diput,objet deficit,cuerp escal,trabaj cuent,centr educ
5,model ejercit,formul grup,sanitari public,vehicul electr,ateng cuestion,diput foral,proposicion izquierd,central nuclear,concesion credit,pen muert,codig civil,ciudadan europe,television local,pension pension,infraestructur ferroviari,sistem universitari,relacion tribunal,romp españ,tribunal superior,interrupcion embaraz,aceit oliv,valor catastral,figur dictam,dictamen comision,superior investig,lengu oficial,consolid fiscal,carrer administr,fij paus,calid educ
6,tem form,formul numer,gast farmaceut,sub iva,financi ilegal,territori histor,portavoz izquierd,confeder hidrograf,acced viviend,legal internacional,justici gratuit,acta unic,radi nacional,pension medi,plan transport,contrat formacion,recurs ampar,independent cataluñ,superior justici,seccion sindical,agricultor ganader,transferent corrient,articul somet,rechaz vot,cientif tecnolog,ministr president,tas crecimient,rueg termin,cuent ajen,consej escol
7,perd nacional,suficient diput,servici sanitari,horari comercial,regener democrat,estatut gernik,mocion izquierd,hectometr cubic,proyect concesion,cuerp segur,pen privat,minut tard,public television,pension van,red ferroviari,polit pasiv,constitucional sentenci,iii mocion,organ judicial,banc izquierd,explot agrari,presupuest consolid,introduc sen,rechaz rest,sistem cienci,dirig ministr,sector exterior,sistem retribut,riesg laboral,inform defensor
8,cre debat,diput miembr,general sanid,preci carbur,rueg ateng,autonom canari,verd izquierd,transport medi,merc alquil,sadam husein,penal codig,trat constitucional,mocion cre,unas pension,line alta,contrat aprendizaj,constitu dic,popul ciudadan,polic judicial,salud sexual,segur agrari,devolu presupuest,termin figur,telemat vot,polit cientif,electoral central,objet estabil,escal especial,accident trabaj,centr docent
9,torn tem,tiemp minut,consej interterritorial,fiscal ambiental,oficin cens,viii constitu,nombr federal,polit agu,credit hipotecari,segur nacion,penal articul,conclusion consej,mocion consecuent,replic paus,plan carreter,univers priv,tribunal cuent,llamazar vasc,juec fiscal,gran caler,frut hortaliz,cient impuest,sen articul,emit vot,celul madr,promet acat,demand intern,provision puest,fij mixt,centr escolar
