,Topic 1:,Topic 2:,Topic 3:,Topic 4:,Topic 5:,Topic 6:,Topic 7:,Topic 8:,Topic 9:,Topic 10:,Topic 11:,Topic 12:,Topic 13:,Topic 14:,Topic 15:,Topic 16:,Topic 17:,Topic 18:,Topic 19:,Topic 20:,Topic 21:,Topic 22:,Topic 23:,Topic 24:,Topic 25:,Topic 26:,Topic 27:,Topic 28:,Topic 29:,Topic 30:
0,fuerza armada,tribun cuenta,impuesto renta,comunitat autònom,parla mentario,medio rural,go bierno,poder judici,senador cazali,sistema financiero,tribun constitucion,pasamo portavoc,guardia civil,pre sident,senador iglesia,tiempo minuto,eskerrik asko,gra cia,derecho humano,persona discapacidad,sistema educativo,enmien da,registro civil,ceuta melilla,buena tard,medio ambient,senador beguer,corporacion local,reforma labor,reforma estatuto
1,ministerio defensa,ministerio fiscal,impuesto sociedad,senyor presid,entesa catalana,sector agrario,presi dent,consejo gener,entidad local,pre sident,competencia exclusiva,caja ahorro,cuerpo seguridad,consumidor usuario,servicio militar,cort general,arratsald on,cia senador,senador dorrego,derecho humano,consejo superior,remitido congreso,pa labra,bosqu hita,presupuesto general,alta velocidad,ayuda ofici,sistema nacion,puesto trabajo,senador bri
2,central nuclear,cuenta gener,fraud fiscal,estat espanyol,aplauso escaño,agricultor ganadero,presu puesto,gener poder,hace referencia,empresa trabajo,sentencia tribun,mu senador,fuerza cuerpo,propiedad intelectu,vaya concluyendo,desea intervenir,egun on,defensa senador,vaya terminando,hombr mujer,consejo escolar,texto dictamen,salud mental,senador varela,2022 diario,parqu nacion,ofici desarrollo,nacion salud,pequeña mediana,lengua cooficial
3,go bierno,fiscal gener,agricultura pesca,grup parlamentari,parlamenta rio,ministerio agricultura,presupuesto general,tribun supremo,seguridad privada,balanza fiscal,sena dor,mercado valor,ministerio interior,defensa consumidor,senador ferrer,quinc minuto,incendio forestal,senadora boneta,asunto exterior,toda persona,comunidad educativa,entesa pel,labra senador,gra senador,2021 diario,isla balear,presi dent,entidad local,mediana empresa,lengua propia
4,presi dent,ocupa presidencia,renta persona,aquest moment,parlamen tario,desarrollo rural,pre supuesto,ministerio justicia,industria comercio,gru po,competencia comunidad,hace uso,fuerza seguridad,gr upo,pre sident,ofici cort,mahaiburu jauna,pala bra,doy defendida,niño niña,calidad enseñanza,texto remitido,medida piensa,senador bosqu,2015 diario,ill balear,justicia univers,estabilidad presupuestaria,mercado trabajo,lengua ofici
5,mo mento,trabajo asunto,im puesto,acord amb,presi dent,ministerio fomento,millo ne,senador fuent,industria turismo,ministerio cultura,co munidad,nacion mercado,presi dent,derecho propiedad,sido retirada,senador alierta,pre sident,re chazada,consejo europa,igualdad oportunidad,cen tro,disposicion adicional,piensa adoptar,gobernador civil,2020 diario,parqu nacional,voluntaria embarazo,sistema sanitario,pacto toledo,damo defendida
6,defensa nacion,enjuiciamiento crimin,reforma fiscal,aquest sentit,pre sident,sector pesquero,presupu to,juec magistrado,proyecto proposicion,octubr 2014,presi dent,presi dent,cuerpo nacion,presi dent,mismo tiempo,tratado convenio,jaun andreok,senador albistur,autoriza acto,buena tard,uni versidad,cort general,corredor mediterrani,28 36,2018 diario,impacto ambient,penal internacion,fiscal financiera,mercado labor,presi dent
7,tan important,pi sunyer,sistema fiscal,nostr grup,quiero agradec,mundo rural,interior bruto,tribun constitucion,senador quintero,go bierno,senador barbuzano,senador baselga,fuerza armada,mo mento,dar defendida,convenio internacional,on guztioi,portavoc senador,pueda prestar,persona mayor,presi dent,senador guillot,calidad educativa,amba inclus,2017 diario,ministerio medio,senador mesa,municipio provincia,poder adquisitivo,ponencia estudio
8,mismo tiempo,protesta escaño,base impon,pel fa,popu lar,plan nacion,so cial,superior justicia,ir terminando,trabajo tempor,comp tencia,senador quintana,unido podemo,derecho autor,fuerza armada,pasa mo,asko mahaiburu,senador senador,acto pueda,derecho fundamental,fracaso escolar,ofici cort,presi dent,ciudad ceuta,fondo europeo,presi dent,ayuda desarrollo,ministerio sanidad,diciembr 2012,len gua
9,asunto exterior,tutela judici,agencia tributaria,aquesta cambra,pleno 10,go bierno,50 ciento,justicia gratuita,senadora capella,valor añadido,com petencia,da defendida,seguridad vial,permanent revis,militar obligatorio,senadora rivero,senador nacionali,pena muert,prestar consentimiento,derecho persona,ens ñanza,inform ponencia,sociedad desarrollo,san vicent,llegar acuerdo,medio am,senadora vilallonga,asistencia sanitaria,crear empleo,uso lengua
10,presupuesto defensa,fuert rumor,lucha fraud,tot això,cualquier caso,aceit oliva,mo mento,hace referencia,15 16,mismo tiempo,competencia materia,resulta do,senador luna,escaño gr,senador liso,pre sident,asko jauna,portavoz senador,obligars medio,violencia machista,sistema universitario,vuelta texto,instituto nacion,vicent 28,2023 diario,am bient,lesa humanidad,consejo interterritori,tiempo parcial,tener cuenta
11,senadora iparragirr,judici efectiva,beneficio fiscal,hem presentat,socia lista,alta velocidad,co munidad,presi dent,pre sident,nue tro,competen cia,senador chueca,cuerpo fuerza,derecho consumidor,objetor conciencia,junta portavoc,senatari jaun,senador cueva,ministerio asunto,2017 diario,marzo 1984,senador interpelant,desarrollo industri,cuesta san,covid 19,espacio natural,cort penal,nuevo modelo,largo plazo,toda lengua
12,tener cuenta,fuert protesta,sanidad consumo,aquest ca,pleno 20,doy formulada,impor tant,contencioso administrativo,veint minuto,parla mentario,comunidad au,formula senador,tan important,go bierno,privativa libertad,gru po,nacionali ta,senador aspuru,derecho internacion,derecho libertad,pre sident,disposicion final,decret llei,23 00,semana pasada,santa cruz,cort general,lista espera,activa empleo,carta europea
