,Topic 1:,Topic 2:,Topic 3:,Topic 4:,Topic 5:,Topic 6:,Topic 7:,Topic 8:,Topic 9:,Topic 10:
0,grup parlamentari,tribunal cuent,puest trabaj,polit econom,respons polit,tribunal constitucional,izquierd unid,medi ambient,vot emit,guardi civil
1,codig penal,grup parlamentari,sistem nacional,presupuest general,director general,pod judicial,unid inici,consej ministr,paus vot,nacion unid
2,izquierd unid,junt portavoc,impuest rent,gast public,opinion public,articul constitu,rueg conclu,sistem educ,rechaz enmiend,fuerz armad
3,cualqui cas,diput permanent,nacional salud,deficit public,comision investig,administr public,tom consider,alta veloc,dictam comision,asunt exterior
4,lleg acuerd,articul reglament,pact toled,crecimient econom,hac años,consej general,federal izquierd,obras public,numer vot,consej europe
5,hac referent,econom haciend,salari minim,ultim años,part polit,estatut autonom,interpel urgent,plan nacional,enmiend sen,polit exterior
6,grup cam,extraordinari comision,merc trabaj,sector public,hac falt,general pod,numer formul,direccion general,enmiend vot,derech human
7,deb ten,celebr extraordinari,formacion profesional,creacion emple,quier dec,disposicion adicional,consider proposicion,puest march,disposicion adicional,cuerp segur
8,cre deb,acuerd celebr,person fisic,administr public,fiscal general,servici public,consecuent interpel,formacion profesional,rest enmiend,vay conclu
9,solucion problem,tramit proyect,ministeri sanid,pequeñ median,sub tribun,administr justici,mocion consecuent,plan hidrolog,enmiend numer,fuerz cuerp
10,hech referent,plen cam,ministeri trabaj,tip interes,tom decision,funcion public,des fij,ministeri foment,enmiend popul,ministeri interior
11,econom europe,cam agrari,reform laboral,cre emple,altos carg,sentenci tribunal,defens enmiend,ultim años,aprob enmiend,segur ciudadan
12,algun maner,educ cultur,luch fraud,crisis econom,consej ministr,tribunal suprem,diput doñ,ministeri agricultur,enmiend mixt,rueg vay
13,tan import,convalid derog,sistem segur,deud public,asum respons,corpor local,enmiend present,ministeri educ,enmiend articul,consej segur
14,mism tiemp,ministeri cultur,asistent sanitari,median empres,campañ electoral,tom consider,proposicion popul,ministeri medi,sen proyect,ministeri defens
15,ten cuent,cultur deport,negoci colect,product interior,interes general,cort general,rueg guard,parqu nacional,text dictam,luch terror
16,pued ten,comision investig,agenci tributari,banc españ,fuerz polit,defensor puebl,pregunt dirig,mejor calid,progres democraci,parlament europe
17,resolv problem,formul grup,fraud fiscal,empres public,deb hab,exposicion motiv,unid pod,cambi climat,aprob articul,fuerz segur
18,dud algun,formul numer,person discapac,interior brut,banc españ,ministeri justici,nombr popul,hidrolog nacional,proyect organ,alianz atlant
19,grup polit,numer suficient,rent person,servici public,consej administr,organ pod,acept rechaz,pon march,enmiend total,vot telemat
