semana,neg-1,neg-2,neg-3,neg-4,neg-5,neg-6,neg-7,neg-8,neg-9,neg-10,neg-11,neg-12,neg-13,neg-14,neg-15,neg-16,neg-17,neg-18,neg-19,neg-20,pos-1,pos-2,pos-3,pos-4,pos-5,pos-6,pos-7,pos-8,pos-9,pos-10,pos-11,pos-12,pos-13,pos-14,pos-15,pos-16,pos-17,pos-18,pos-19,pos-20
2011-50,06 deud,pas histori,pas hor,pas igual,pas im,pas imagin,pas impor,pas import,pas importantisim,pas imprescind,pas impuest,pas impuls,pas in,pas inadvert,pas inclu,pas inclus,pas incorpor,pas increment,pas inform,pas inici,ejempl nivel,ejempl niñ,ejempl norm,ejempl nuev,ejempl parec,ejempl num,ejempl objet,ejempl oblig,ejempl ocasion,ejempl ocurr,ejempl oficin,ejempl oper,ejempl organ,ejempl organiz,ejempl pa,ejempl pact,ejempl pag,ejempl palpabl,ejempl numer,ños popul
2012-4,nadi dud,manuel frag,06 deud,pas hor,pas igual,pas im,pas imagin,pas impor,pas import,pas importantisim,pas imprescind,pas impuest,pas impuls,pas in,pas inadvert,pas inclu,pas inclus,pas incorpor,pas increment,pas inform,ejempl norm,ejempl nuev,ejempl num,ejempl modif,ejempl numer,ejempl oblig,ejempl ocasion,ejempl ocurr,ejempl oficin,ejempl oper,ejempl organ,ejempl organiz,ejempl pa,ejempl pact,ejempl pag,ejempl palpabl,ejempl paradigmat,ejempl objet,ños popul,buen inici
2012-6,defensor puebl,sistem financier,preocup ciudadan,perd confianz,sub 50,buen tard,disposicion adicional,2012 pag,plen num,sen plen,febrer 2012,recib luz,num febrer,pas hor,pas formul,pas igual,pas im,pas formacion,pas imagin,pas impor,ejempl oficin,ejempl pag,ejempl pact,ejempl organiz,ejempl oper,ejempl organ,dispuest colabor,pod crec,rigor cientif,com sal,gener confianz,van reduc,senador alcald,problem ciudadan,present cuent,reactiv econom,ningun obra,energ renov,reform financ,central nucl
2012-8,mocion originari,pel progres,entes pel,median empresari,sub tribun,entidad local,autor mocion,pas hac,pas hag,pas hambr,pas habl,pas hech,pas histori,pas hor,pas igual,pas haci,06 deud,pas imagin,pas impor,pas import,ejempl oblig,ejempl ocasion,ejempl ocurr,ejempl numer,sid gestion,cost public,rumor escañ,expres intencion,terrestr play,trabaj trabaj,condicion legal,cam represent,servici public,qu valor,muse nacional,represent territorial,inspeccion fronteriz,mejor funcion,situacion econom,contencion deficit
2012-10,escañ popul,model gestion,pas hag,pas hambr,pas hech,pas histori,pas hor,pas igual,pas im,pas imagin,pas impor,pas import,pas importantisim,pas imprescind,pas impuest,pas in,pas inadvert,pas inclu,pas inclus,pas incorpor,ejempl niñ,ejempl ocasion,ejempl norm,ejempl oblig,ejempl objet,ejempl numer,ejempl num,sector import,ambit gestion,import provinci,servici public,volv record,mal volv,provinci huelv,propuest plante,poc dias,med adopt,gestion servici,impuls nuev,reform laboral
2012-11,06 deud,pas histori,pas hor,pas igual,pas im,pas imagin,pas impor,pas import,pas importantisim,pas imprescind,pas impuest,pas impuls,pas in,pas inadvert,pas inclu,pas inclus,pas incorpor,pas increment,pas inform,pas inici,ejempl norm,ejempl nuev,ejempl num,ejempl modif,ejempl numer,ejempl oblig,ejempl ocasion,ejempl ocurr,ejempl oficin,ejempl oper,ejempl organ,ejempl organiz,ejempl pa,ejempl pact,ejempl pag,ejempl palpabl,ejempl paradigmat,ejempl objet,ños popul,aplaus escañ
2012-13,vulner derech,catalan sen,popul sen,centr especial,pued habl,tom decision,especial emple,pas import,pas impor,pas im,pas igual,pas hor,pas histori,pas hech,pas hambr,pas imagin,pas importantisim,pas impuest,pas hag,pas impuls,motiv interpel,sum vot,parlament galleg,comerci armas,zon franc,carg trabaj,reform laboral,apoy mocion,emple public,cre just,cuid hij,cre import,moment reform,autonom ayunt,extrem derech,pas legislatur,asoci profesional,escuch lueg,grand empres,buen tard
2012-15,direccion general,padr madr,deficit public,incendi forestal,educ sexual,cuot lact,desarroll personal,senador interpel,embaraz des,06 deud,pas imprescind,pas import,pas impor,pas imagin,pas im,pas importantisim,pas impuest,pas inadvert,pas in,pas igual,ejempl ocurr,ejempl organiz,ejempl organ,ños popul,ejempl oper,mocion asum,sen plen,plen num,famili element,abril 2012,ten cuent,program electoral,dispuest renunci,polit apoy,agu deb,crisis deud,aplaus escañ,parqu natural,polit energet,buen tard
2012-17,histori democrat,interpel reform,maestr profesor,pesc turism,estabil presupuestari,servici public,tribunal ordinari,catalan sen,consecuent econom,25 abril,num 15,administr public,15 25,negat consecuent,marc españ,pas impuls,pas importantisim,pas import,pas impor,pas in,ejempl ocurr,ños popul,ejempl oficin,ejempl oper,ejempl organ,ejempl organiz,ejempl pa,ejempl pag,ejempl pact,buen dias,contrat indefin,energ renov,eficient energet,merit capac,hac contrat,text articul,protest escañ,presupuest general,reform laboral,crecimient econom
2012-19,sen plen,agricultor ganader,hac años,igual igual,medi ambient,regl jueg,polit fiscal,raz autocton,sector public,cataluny senador,cambi regl,may 2012,2012 pag,plen num,organ supervisor,pas hor,pas igual,pas im,pas imagin,pas impor,ejempl pact,ejempl pag,ejempl palpabl,ejempl paradigmat,ejempl parec,desviacion deficit,caid ingres,reform laboral,tan import,activ pesquer,pesc sosten,cient cincuent,pas atras,10 000,aplausos rumor,proyect investig,doy formul,630 000,administr public,sanid public
2012-21,caudal ecolog,entidad local,polit medioambiental,06 deud,pas histori,pas hor,pas igual,pas im,pas imagin,pas impor,pas import,pas importantisim,pas imprescind,pas impuest,pas impuls,pas inadvert,pas hech,pas inclu,pas inclus,pas incorpor,ejempl moment,ejempl ocurr,ejempl oficin,ejempl modif,ejempl num,ejempl negoci,guerr civil,part histori,unid franci,isabel ii,diferent provinci,españ rein,gener necesari,canal isabel,cuent general,hac falt,sistem deposit,europe com,altos carg,haciend local
2012-23,agricultor ganader,quinter castañed,iglesi catol,sector turist,desarroll futur,inversion import,energ renov,06 deud,pas hac,pas haci,pas hag,pas hambr,pas hech,pas histori,pas hor,pas igual,pas imagin,pas habl,pas impor,pas import,ejempl ocasion,ejempl oblig,ejempl numer,ejempl objet,deb hac,trat form,pod hab,gust aport,entrad fond,piens interes,quer ayud,qued clar,cualqui cas,trasposicion direct,territori especial,tribunal constitucional,medi ambient,16 años,gan eleccion,mocion present
2012-25,pel progres,enmiend numer,uni senador,contencion gast,tod enmiend,entes pel,senador guillot,estabil presupuestari,realid econom,23 19,catalan sen,campus excelent,dic verd,tas reposicion,objet deficit,senador vicent,enmiend popul,enmiend present,seccion 31,pod permit,sab dich,polit recort,grup parlamentari,justific devolu,presupuest present,fuerz armad,principi solidar,rent trabaj,medi rural,cooper desarroll,ejercici 2012,guardi civil,senador ibarrond,gener confianz,hac falt,presupuest recort,acept enmiend,vay termin,dam defend,portavoz popul
2012-29,estabil presupuestari,dej deb,muñoz alons,pod segu,cierr debat,centr especial,energ turism,ponenci estudi,industri energ,vet numer,especial emple,pas in,pas grand,pas grav,pas gust,pas impuls,pas impuest,pas hab,pas habl,pas hac,ademas moment,preocup ocup,sub iva,sid asi,transmit ciudadan,ayud lleg,television public,13 000,men crecimient,cre nuev,puest trabaj,endeud public,popul opon,buen dias,med tom,amnist fiscal,sal crisis,cualqui cas,gran med,senador montill
2012-30,administr public,06 deud,pas histori,pas hor,pas igual,pas im,pas imagin,pas impor,pas import,pas importantisim,pas imprescind,pas impuest,pas impuls,pas hech,pas in,pas inclu,pas inclus,pas incorpor,pas increment,pas inform,ejempl nuev,ejempl parec,ejempl numer,ejempl num,ejempl oblig,ejempl ocasion,ejempl ocurr,ejempl oficin,ejempl oper,ejempl organ,ejempl organiz,ejempl pa,ejempl pact,ejempl pag,ejempl palpabl,ejempl objet,sub impuest,10 000,emple public,prim riesg
2012-37,sub iva,ministeri foment,mil explot,sector lacte,prestacion desemple,sanitari pacient,polit econom,apoy sector,hech juici,años medi,sistem sanitari,plan anual,administr competent,levant mur,quier derog,quier agradec,juici intencion,marc plan,pag prestacion,32 000,ejempl oblig,ejempl ocasion,ejempl ocurr,ejempl oficin,ejempl preci,ejempl practic,ejempl oper,ejempl organ,ejempl organiz,ejempl pa,ejempl pact,ejempl pag,ejempl popul,ejempl portavoz,plan prep,gast public,peor democraci,aeropuert forond,vay termin,cuot segur
2012-39,sostenibil financ,senador candini,num exp,desarroll econom,sector lacte,ultim años,arrim hombr,sector telecomun,servici ferroviari,ningun cas,solucion problem,vay finaliz,oper ferroviari,06 deud,pas hech,pas hambr,pas hag,pas haci,pas hac,pas histori,ejempl oper,ejempl oblig,ejempl ocasion,ejempl ocurr,ejempl oficin,ejempl pa,ejempl objet,ejempl organiz,ejempl organ,articul 32,educ sanid,polit industrial,sen plen,plen num,2012 pag,septiembr 2012,autop mar,materi prim,senador barreir,senador fidalg
2012-41,tribunal constitucional,catalan sen,pon march,senador anasagasti,octubr 2012,tan import,senador altur,senador iglesi,nort afric,desarroll rural,part polit,sistem financier,reform laboral,variant ferroviari,nombr popul,2012 pag,consej segur,derech fundamental,enmiend popul,plen num,ejempl organiz,necesit apoy,desviacion ipc,materi iguald,socied gestion,clausul revision,algun enmiend,med polit,senador almiñan,form fond,pension medi,comenz intervencion,senador llinar,senador flor,disposicion final,elimin clausul,import sistem,derech mujer,empres concesionari,banc mal
2012-43,enmiend numer,rechaz numer,lleg acuerd,sen senador,progres cataluny,num exp,administr public,pas incorpor,pas inform,pas hac,pas haci,pas hag,pas hambr,pas hech,pas histori,pas hor,pas igual,pas im,pas increment,pas imagin,ejempl organ,ejempl ocasion,sistem public,public pension,sub iva,gent pas,dec gent,construccion europe,pas mal,senador garc,incendi forestal,polit iguald,tecnolog sanitari,ministr ministr,territori peninsular,cre ello,sub impuest,lleg ave,ministr iguald,deb hac
2012-45,agricultur ecolog,fond pension,sistem nacional,articul modif,senador interpel,autor mocion,nacional salud,preci petrole,catalan sen,dictam aprob,consej ministr,ministr pesc,pas im,pas imagin,pas igual,pas impor,pas hor,pas import,pas importantisim,pas impuls,medi ambient,activ emple,camin haci,oper merc,copag farmaceut,polit activ,van numer,agricultur ganad,benefici oper,hac uso,plan especial,sub iva,cambi realid,culp zapater,enmiend van,cambi climat,comision europe,defens enmiend,person mayor,oficin judicial
2012-46,proced urgenci,clausul abus,senador lerm,tribunal constitucional,progres cataluny,person mayor,regal diner,justici gratuit,tod españ,solvent problem,proteccion integral,enfermedad cronic,grup parlamentari,integral victim,desarroll reglamentari,banc españ,pas impuest,pas imagin,pas impor,pas import,ejempl ocasion,ejempl ocurr,ejempl pa,ejempl organiz,ejempl oficin,ejempl oper,ejempl oblig,enmiend paus,enmiend entes,sistem financier,corpor local,hac dias,mixt senador,defiend enmiend,administr justici,hac referent,ejecu hipotecari,hac avanz,habl problem,solucion problem
2012-50,propuest vet,deficit public,vay finaliz,tod enmiend,izquierd unid,defens senador,habl tem,situacion econom,catalan sen,present enmiend,senador iglesi,senador sen,tom decision,entidad local,vet numer,presupuest defens,deb dec,socied estatal,sector energet,enmiend present,doy defend,prim riesg,cuent result,corredor ferroviari,presupuest present,disposicion adicional,cre impuest,acept enmiend,produc mayor,educ sanid,estatut autonom,sub iva,part dedic,despues dias,senador luzard,cifuent senador,portavoz popul,uni enmiend,presupuest 2013,iglesi mariscal
2012-51,senador guillot,grup parlamentari,nombr econom,pod judicial,diciembr 2012,sistem educ,recien nac,ultim años,justici gratuit,institut nacional,catalan sen,segur vial,num 47,senador parer,estudi problemat,econom competit,pas incorpor,pas igual,pas institu,pas im,senador alvarez,vay termin,defensor puebl,cualqui cas,num 46,secretari general,fraud segur,ahor mism,enfermedad rar,cre problem,econom sumerg,parec razon,central nucl,red parador,consolid fiscal,gestion priv,entrad vigor,autor canari,seman pas,autonom gobern
