,Topic 1:,Topic 2:,Topic 3:,Topic 4:,Topic 5:,Topic 6:,Topic 7:,Topic 8:,Topic 9:,Topic 10:,Topic 11:,Topic 12:,Topic 13:,Topic 14:,Topic 15:,Topic 16:,Topic 17:,Topic 18:,Topic 19:,Topic 20:,Topic 21:,Topic 22:,Topic 23:,Topic 24:,Topic 25:,Topic 26:,Topic 27:,Topic 28:,Topic 29:,Topic 30:
0,disposicion adicional,senador nacional,fuerz armad,sen plen,sector pesquer,sen plen,agricultur pesc,izquierd unid,corpor local,guardi civil,sector turist,presupuest general,derech human,plan hidrolog,pod judicial,aquest moc,pre sident,person discapac,vay termin,presi dent,enmiend numer,aprob asent,defensor puebl,reform laboral,sistem educ,obras public,violenci gener,articul 87,aplaus escañ,eskerrik asko
1,enmiend present,nacional vasc,solicit separ,go biern,pre sident,plen num,izquierd confederal,presi dent,medi ambient,person discapac,pequeñ median,presu puest,nacion unid,hidrolog nacional,codig penal,sen plen,guardi civil,poder public,izquierd unid,pre sident,particul numer,entes pel,alta veloc,puest trabaj,centr educ,contest interpel,ceut melill,unid pod,presi dent,polit viviend
2,present enmiend,catalan sen,separ numer,presi dent,grup parlamentari,2013 pag,sanid consum,registr civil,sistem financi,castill leon,median empres,pre supuest,asunt exterior,presi dent,tribunal constitucional,comunitats autònom,administr public,propied intelectual,vot emit,us ted,formacion profesional,pel progres,ministeri foment,creacion emple,centr public,medi ambient,niñ niñ,mare senador,escañ popul,egun on
3,enmiend numer,gra cias,presi dent,parl mentari,aceit oliv,buen tard,nacional senador,senador interpel,energ renov,patrimoni cultural,pre sident,gast public,polit exterior,go biern,consej general,illes balears,presi dent,person mayor,tribunal constitucional,ter min,mixt senador,progres cataluny,econom fiscal,polit econom,centr priv,chas senador,tom consider,presi dent,protest escañ,arratsald on
4,ar ticul,mu chas,separ articul,mocion present,foral navarr,buen dias,presi dent,expon interpel,entidad local,patrimoni histor,lleg acuerd,proyect presupuest,memori histor,pre sident,general pod,tots els,pension contribut,consumidor usuari,sistem universitari,quier dec,defend enmiend,rein españ,regim econom,cre emple,derech educ,mocion consecuent,grup parlamentari,go biern,us ted,mahaiburu jaun
5,hac referent,popul senador,merc valor,medi ambient,autor portuari,2014 pag,pre gunt,interpel senador,financi autonom,estatut autonom,comarc miner,vet seccion,consej europ,medi ambient,sen plen,senyor president,ente public,trabaj asunt,univers public,ultim años,portavoc mixt,pued prest,gran canari,polit activ,consej escol,mu senador,violenci machist,servici postal,guardi civil,jaun andreok
6,disposicion final,chas senador,separ enmiend,grup parlamentari,sector agrari,2021 diari,senador river,administr public,medi rural,pre sident,presi dent,presupu tos,ministeri asunt,doy formul,administr justici,estat espanyol,general segur,administr public,mism autor,quier agradec,text dictam,autoriz acto,corredor mediterrane,impuest rent,funcion public,ministeri obras,victim violenci,cart europe,popul sen,acces viviend
7,apart articul,entes catalan,ultim años,parqu nacional,sector lacte,2012 pag,pesc aliment,mism tiemp,polit fiscal,derech person,quier agradec,deficit public,guerr civil,confeder hidrograf,derech fundamental,grup parlamentari,so cial,lengu cooficial,consej superior,econom europe,re chaz,asent paus,autonom canari,ultim años,materi educ,interpel nombr,estatut autonom,senador torr,rumor escañ,viviend alquil
8,dictam comision,cias senador,empres public,cualqui cas,ministr senador,2022 diari,confederal senador,cam agrari,administr local,econom europe,ministeri industri,mill nes,cooper desarroll,doy defend,guardi civil,amb els,sistem segur,form part,pre sident,grup parlamentari,tod enmiend,oblig medi,tribunal cuent,interior brut,ministeri educ,consecuent interpel,derech niñ,pre sident,go biern,vi viend
9,grup parlamentari,catalan progres,nacional merc,2007 um,frut hortaliz,presupuest general,ministr sanid,hac referent,administr public,tom consider,min carbon,presupuest ministeri,cooper internacional,vasc senador,cuerp segur,els seus,television public,tod person,cit anterior,sen dor,cataluñ sen,present propuest,transport aere,pod adquisit,centr docent,rueg conclu,codig civil,lengu regional,fuert rumor,asko mahaiburu
10,pro yect,uni senador,defens nacional,present mocion,conveni econom,sistem nacional,gunt senador,funcion public,administr central,cultural inmaterial,solucion problem,tribunal cuent,derech internacional,propi termin,fuerz cuerp,acord amb,hac referent,tom consider,estatut autonom,simplement quier,vot particular,prest consent,servici public,merc trabaj,centr concert,presi dent,inmigr ilegal,ten cuent,cienci tecnolog,senatari jaun
11,present proyect,parl mentari,go biern,mo cion,agricultur pesc,servici public,ir termin,cualqui cas,consej polit,consej econom,destin turist,ultim años,puebl saharaui,interes general,tribunal suprem,uni europe,pen sion,eskerrik asko,uni versid,apoy mocion,senador iglesi,acto pued,tren alta,crecimient econom,educ especial,senador chas,hombr mujer,postal universal,segur vial,plan viviend
12,text proyect,sen dor,pre sident,pre sent,articul 125,nacional salud,senador vidal,deb ten,fond compens,patrimoni human,grup parlamentari,debat presupuest,sah occidental,replic senador,ministeri justici,aquest sentit,pact toled,hombr mujer,reform universitari,pued ten,servici milit,senador guillot,cuent general,merc laboral,tribunal constitucional,agricultur pesc,luch violenci,quier dec,popu lar,viviend proteg
