,Topic 1:,Topic 2:,Topic 3:,Topic 4:,Topic 5:,Topic 6:,Topic 7:,Topic 8:,Topic 9:,Topic 10:
0,text remit,chas senador,centr public,plan hidrolog,aquest moc,objet deficit,derech human,vay termin,rent person,guardi civil
1,entes pel,cias senador,ministr educ,launion europe,comunitats autònom,diciembr 2012,violenci gener,registr civil,cient respect,polic nacional
2,pel progres,mixt senador,consej escol,plen noviembr,tots els,pobrez infantil,violenci machist,ministeri fiscal,mare senador,num exp
3,entrad cam,particul numer,doy formul,parqu nacional,estat espanyol,reform laboral,victim violenci,judicial efect,supuest general,nacional polic
4,modif text,uni senador,superior deport,autoriz acto,amb els,ingres minim,puebl saharaui,tutel judicial,cient gast,polic guardi
5,progres cataluny,paus senador,separ enmiend,hidrolog nacional,els seus,minim vital,sah occidental,judicial numer,plan energet,civil polic
6,vay finaliz,turn paus,formul termin,acto pued,acord amb,pag proveedor,inform defensor,oficin judicial,cient inversion,ez da
7,plaz present,tiemp minut,dar trasl,consent oblig,uni europe,enfermedad rar,luch violenci,jurid gratuit,impuest so,muse prad
8,28 36,portavoc paus,escañ derech,plen 25,aquest sentit,30 000,confederal senador,jurisdiccion contenci,nes peset,cuartel guardi
9,proyect proposicion,portavoc mixt,separ numer,oblig medi,milions eur,pobrez energet,memori histor,vigil penitenciari,organ financi,public urba
10,mariscal cifuent,pas portavoc,tal dispon,plen marz,interpel lac,model product,internacional derech,part judicial,55 cient,senador dominguez
11,san vicent,turn portavoc,calid enseñ,plen febrer,nostr grup,consolid fiscal,terror eta,contenci administr,compens interterritorial,dominguez pos
12,regim electoral,vasc senador,enseñ public,2002 um8,pel fa,sub iva,mujer niñ,juici oral,presupu tos,registr entrad
13,vicent 28,vay conclu,constitu dar,2005 um4,amb aquest,transicion energet,tod victim,prision provisional,gast fiscal,bait ere
14,cuest san,paus grup,trasl enmiend,2005 um3,aquest cambr,tej product,derech mujer,portavocespor mixt,particip tribut,nacional guardi
15,cataluny senador,rueg vay,milit obligatori,ministeri medi,tot això,crisis sanitari,infanci adolescent,falt grav,promet acat,da eta
16,23 00,roman clement,previ sancion,plen 24,nostr esmen,marc españ,institu defensor,educ cul,particip ingres,mixt deneg
17,acto consider,portavoc senador,enseñ medi,2005 um5,però tamb,500 000,libertad fundamental,tribunal econom,cion presupuest,egin beh
18,entrad sen,mu senador,fisic deport,gr upo,hem presentat,ret demograf,derech vid,registr mercantil,tos presupuest,cuerp guardi
19,28008 madr,paus turn,educ secundari,plen abril,aquest cas,tech gast,europe derech,dig penal,puest rent,laguardi civil
