semana,neg-1,neg-2,neg-3,neg-4,neg-5,neg-6,neg-7,neg-8,neg-9,neg-10,neg-11,neg-12,neg-13,neg-14,neg-15,neg-16,neg-17,neg-18,neg-19,neg-20,pos-1,pos-2,pos-3,pos-4,pos-5,pos-6,pos-7,pos-8,pos-9,pos-10,pos-11,pos-12,pos-13,pos-14,pos-15,pos-16,pos-17,pos-18,pos-19,pos-20
1979-12,ocup president,abarqu tod,parlamentari fundamental,parlamentari fuerz,parlamentari formul,parlamentari form,parlamentari firm,parlamentari final,parlamentari fin,parlamentari fij,parlamentari federal,parlamentari expres,parlamentari explic,parlamentari exist,parlamentari except,parlamentari excepcion,parlamentari evident,parlamentari europe,parlamentari estudi,parlamentari general,electoral efect,electoral dud,electoral distint,electoral discurs,electoral dir,electoral diput,electoral dij,electoral dig,electoral defend,electoral dificil,electoral dic,electoral determin,electoral despues,electoral desarroll,electoral derech,electoral depend,electoral dentr,electoral democrat,electoral dich,ñor diput
1979-13,pid cuestion,mod algun,regim foral,parlamentari fuerz,parlamentari formul,parlamentari form,parlamentari firm,parlamentari final,parlamentari fin,parlamentari fundamental,parlamentari fij,parlamentari expres,parlamentari explic,parlamentari exist,parlamentari except,parlamentari excepcion,parlamentari evident,parlamentari europe,parlamentari estudi,parlamentari federal,electoral efect,electoral dud,electoral distint,electoral discurs,electoral dir,electoral diput,electoral dij,electoral dig,ñor diput,electoral dificil,electoral dich,electoral dic,electoral determin,electoral despues,electoral desarroll,electoral derech,electoral depend,electoral dentr,electoral dej,formacion polit
1979-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-18,algun maner,landelin lavill,derech honor,honor person,abarqu tod,parlamentari fundamental,parlamentari fuerz,parlamentari formul,parlamentari form,parlamentari firm,parlamentari final,parlamentari fin,parlamentari fij,parlamentari federal,parlamentari expres,parlamentari explic,parlamentari exist,parlamentari except,parlamentari excepcion,parlamentari evident,electoral ejempl,electoral efect,electoral dud,electoral distint,electoral discurs,electoral dir,electoral dentr,electoral diput,electoral dig,electoral dificil,electoral dich,electoral dic,electoral determin,electoral despues,electoral desarroll,electoral derech,electoral dij,ñor diput,nacional vasc,articul reglament
1979-19,polit econom,hech tozud,plan anual,abarqu tod,parlamentari fuerz,parlamentari formul,parlamentari form,parlamentari firm,parlamentari final,parlamentari fin,parlamentari fij,parlamentari federal,parlamentari expres,parlamentari explic,parlamentari exist,parlamentari except,parlamentari excepcion,parlamentari evident,parlamentari europe,parlamentari estudi,electoral dud,electoral distint,electoral discurs,electoral dir,electoral diput,electoral dij,electoral dej,electoral dig,electoral dich,electoral dic,electoral determin,electoral despues,electoral desarroll,electoral derech,electoral depend,electoral dentr,electoral dificil,ñor diput,solucion problem,medi plaz
1979-20,abarqu tod,parlamentari general,parlamentari fundamental,parlamentari fuerz,parlamentari formul,parlamentari form,parlamentari firm,parlamentari final,parlamentari fin,parlamentari fij,parlamentari federal,parlamentari expres,parlamentari explic,parlamentari exist,parlamentari except,parlamentari excepcion,parlamentari evident,parlamentari europe,parlamentari grup,parlamentari gust,electoral dud,electoral distint,electoral discurs,electoral dir,electoral diput,electoral dij,electoral dig,electoral dificil,electoral dich,electoral dic,electoral determin,electoral despues,electoral desarroll,electoral derech,electoral depend,electoral dentr,electoral elabor,ñor diput,plan energet,industri energ
1979-21,guerr revolucionari,unid españ,peligr democraci,abarqu tod,parlamentari form,parlamentari firm,parlamentari final,parlamentari fin,parlamentari fij,parlamentari federal,parlamentari expres,parlamentari explic,parlamentari exist,parlamentari except,parlamentari excepcion,parlamentari evident,parlamentari europe,parlamentari estudi,parlamentari estim,parlamentari formul,electoral dij,electoral dig,electoral defend,electoral dich,electoral dificil,electoral determin,electoral despues,electoral desarroll,electoral derech,electoral depend,electoral dentr,electoral democrat,electoral dic,ñor diput,carg prueb,dad razon,reform sanitari,polit sanitari,polic autonom,segur ciudadan
1979-22,proced legisl,corpor local,quier españ,parlamentari estudi,parlamentari fundamental,parlamentari fuerz,parlamentari formul,parlamentari form,parlamentari firm,parlamentari final,parlamentari fin,parlamentari fij,parlamentari general,parlamentari expres,parlamentari explic,parlamentari exist,parlamentari except,parlamentari excepcion,parlamentari evident,parlamentari europe,electoral discurs,electoral dir,electoral diput,electoral dij,electoral dig,electoral dificil,electoral dej,electoral dich,electoral dic,electoral determin,electoral despues,electoral desarroll,electoral derech,electoral depend,electoral dentr,ñor diput,tramit estatut,derech asil,vid local,comision constitucional
1979-23,abarqu tod,parlamentari general,parlamentari fundamental,parlamentari fuerz,parlamentari formul,parlamentari form,parlamentari firm,parlamentari final,parlamentari fin,parlamentari fij,parlamentari federal,parlamentari expres,parlamentari explic,parlamentari exist,parlamentari except,parlamentari excepcion,parlamentari evident,parlamentari europe,parlamentari grup,parlamentari gust,electoral derech,electoral dir,electoral diput,electoral discurs,electoral dig,electoral dificil,electoral dich,electoral dic,electoral determin,electoral despues,electoral dij,hac tiemp,mocion present,hac falt,centr democrat,estatut trabaj,comision especial,ningun moment,poligon tir,polit agrari
1979-24,cre inici,pued compet,fin lucr,institu fin,abarqu tod,parlamentari fundamental,parlamentari fuerz,parlamentari formul,parlamentari form,parlamentari firm,parlamentari final,parlamentari fij,parlamentari general,parlamentari federal,parlamentari expres,parlamentari explic,parlamentari exist,parlamentari except,parlamentari excepcion,parlamentari evident,electoral ejempl,electoral efect,electoral dud,electoral distint,electoral discurs,electoral dir,electoral diput,electoral dij,electoral dej,electoral dig,electoral dich,electoral dic,electoral determin,electoral despues,electoral desarroll,electoral derech,electoral depend,electoral dentr,electoral dificil,ñor diput
