,Topic 1:,Topic 2:,Topic 3:,Topic 4:,Topic 5:,Topic 6:,Topic 7:,Topic 8:,Topic 9:,Topic 10:
0,disposicion adicional,senador nacional,formacion profesional,sen plen,aquest moc,sen plen,derech human,hac referent,presupuest general,guardi civil
1,grup parlamentari,nacional vasc,sistem educ,presi dent,comunitats autònom,plen num,defensor puebl,pod judicial,presu puest,cuerp segur
2,present enmiend,enmiend numer,fuerz armad,medi ambient,sen plen,buen tard,tribunal constitucional,codig penal,corpor local,fuerz cuerp
3,estatut autonom,chas senador,pod judicial,go biern,illes balears,presupuest general,violenci gener,enmiend present,ultim años,obras public
4,enmiend present,mu chas,aplaus escañ,parl mentari,tots els,servici public,derech fundamental,administr public,go biern,ministeri interior
5,cort general,catalan sen,consej general,grup parlamentari,senyor president,2013 pag,nacion unid,vay termin,gast public,segur ciudadan
6,disposicion final,gra cias,ministeri educ,mocion present,grup parlamentari,buen dias,codig penal,administr justici,pre supuest,mocion consecuent
7,ar ticul,popul senador,general pod,pre sident,estat espanyol,ultim años,person discapac,izquierd unid,polit econom,polic nacional
8,enmiend numer,cias senador,servici milit,present mocion,contest interpel,2014 pag,estatut autonom,ar ticul,pu blic,num exp
9,dictam comision,sen dor,escañ popul,parqu nacional,interpel nombr,reform laboral,niñ niñ,consej general,sector public,consecuent interpel
10,disposicion transitori,mixt senador,educ cienci,mo cion,amb els,2012 pag,ceut melill,presi dent,pre sident,ministeri cultur
11,pro yect,defens enmiend,presi dent,cualqui cas,els seus,2022 diari,consej europ,funcion public,deficit public,eskerrik asko
12,tribunal constitucional,particul numer,consej superior,us ted,pre sident,2015 diari,part polit,tribunal constitucional,aut nom,asunt exterior
13,sen plen,uni senador,pre sident,lleg acuerd,acord amb,puest trabaj,poder public,apart articul,administr central,go biern
14,present proyect,entes catalan,educ cultur,quier agradec,uni europe,2021 diari,tom consider,tribunal suprem,ten cuent,econom europe
15,competent exclus,senador garc,go biern,plan hidrolog,aquest sentit,administr public,form part,general pod,impuest rent,pre sident
16,vot particular,senador dorreg,ministeri defens,pro blem,islas balear,sistem nacional,respet derech,segur jurid,50 cient,director general
17,text remit,vasc senador,protest escañ,apoy mocion,milions eur,nacional salud,derech libertad,deb ten,empres public,presi dent
18,entes pel,enmiend senador,centr public,pre sent,interpel lac,2017 diari,tod person,disposicion adicional,polit fiscal,fuerz segur
19,pel progres,defend enmiend,centr educ,plan nacional,nostr grup,2018 diari,fuerz polit,cuant numer,econom europe,mocion insta
