,Topic 1:,Topic 2:,Topic 3:,Topic 4:,Topic 5:,Topic 6:,Topic 7:,Topic 8:,Topic 9:,Topic 10:,Topic 11:,Topic 12:,Topic 13:,Topic 14:,Topic 15:,Topic 16:,Topic 17:,Topic 18:,Topic 19:,Topic 20:,Topic 21:,Topic 22:,Topic 23:,Topic 24:,Topic 25:,Topic 26:,Topic 27:,Topic 28:,Topic 29:,Topic 30:
0,calidad enseñanza,ocupen escaño,nacion salud,objetivo estabilidad,lengua oficial,vaya concluyendo,seguridad nuclear,interpelacion urgent,junta portavoc,mañana mañana,ministerio medio,fijar pausa,ministerio cultura,tribun cuenta,banco derecha,unido podemo,alta velocidad,plan vivienda,impuesto sociedad,consejo europeo,texto dictamen,fondo monetario,guardia civil,congreso formula,tribun constitucion,texto alternativo,reforma labor,vaya terminando,violencia mujer,servicio militar
1,consejo escolar,terminado debat,presupuesto ministerio,techo gasto,adicional transitoria,libertad sindic,central nuclear,mocion consecuencia,senado proyecto,desean intervenir,acuerdo dictamen,piensa adoptar,nombr feder,libertad enseñanza,vigilancia aduanera,confeder unido,transport ferroviario,vivienda protegida,fraud fiscal,conferencia intergubernament,consejo universidad,monetario internacion,cuerpo seguridad,minuto tard,poder judici,texto proyecto,activa empleo,permanent pertenecient,igualdad hombr,sector agrario
2,comunidad educativa,guarden ocupen,sistema nacion,pago proveedor,debe concluir,deseen fijar,cierr central,consecuencia interpelacion,fijar nombr,juramento promesa,calidad agua,medida piensa,mardon nombr,relacion tribun,legarda uriart,parqu nacion,estudio informativo,vivienda alquil,sistema tributario,perspectiva financiera,efecto indicar,balanza pago,fuerza cuerpo,tard reanuda,tribun supremo,conform dictamen,contrato indefinido,extraordinaria pleno,plan igualdad,organizacion agraria
3,puesto escolar,escaño guarden,presupuesto programa,estabilidad presupuestaria,lengua cooficial,proyecto procedimiento,guard adelant,servicio univers,conformidad dispuesto,sadam husein,rural marino,finalizado debat,resto dictamen,mixta relacion,postal univers,tiempo minuto,tren alta,precio vivienda,base impon,conclusion consejo,ill balear,ciento producto,cuerpo nacion,proyecto pausa,sentencia tribun,totalidad texto,empleo establ,convocatoria extraordinaria,plural coscubiela,profesional agraria
4,administracion educativa,lersundi pide,transferencia capit,terminado tiempo,lengua coofici,sindicato representativo,seguridad central,pasamo debatir,directa lectura,promesa acatamiento,medio ambient,pacto local,libertad religiosa,inform tribun,fondo reservado,previsto adoptar,catalana pausa,superior deport,renta trabajo,tratado constitucion,parlamento isla,sector exterior,cuerpo fuerza,formula vicepresident,juec magistrado,dictamen correspondient,contrato temporal,acuerd convocatoria,ajuria enea,militar obligatorio
5,modelo educativo,guarden quiera,consejo interterritori,guarden adelant,derogatoria final,transaccion transaccion,instalacion nuclear,pueden conjuntament,exterior convenio,mañana suspend,gase efecto,pausa desean,dirigida hacienda,justicia militar,alusion personal,paliar daño,red ferroviaria,materia vivienda,impuesto patrimonio,parlamento nacional,aceptar rechazar,sistema monetario,tiempo terminado,desea uso,superior justicia,cort penal,parado larga,contestar nombr,mujer asesinada,debe acabar
6,turismo comunicacion,escaño abandonen,presupuesto consolidado,regla gasto,horno vizcaya,concluido tiempo,procedent senado,iii mocion,somet pleno,resolucion nacion,nacion agua,reguladora hacienda,documento nacion,enseñanza libertad,rumor banco,urgent reparar,modo transport,ministerio vivienda,lucha fraud,acta unica,nacion mercado,monetario europeo,cuerpo guardia,desea consumir,tiempo concluido,proyecto cuanto,acabado tiempo,congreso acuerd,lucha violencia,modelo fuerza
7,secundaria obligatoria,incompatibilidad alto,asistencia primaria,fondo liquidez,lengua propia,delegado person,solicitant asilo,plural llamazar,congreso relativa,intervenir pausa,trasvas ebro,uxu barko,dirigida justicia,delito militar,dirigida asunto,parqu natur,plan carretera,acced vivienda,renta capit,tratado lisboa,universidad privada,tipo cambio,nacion guardia,reanuda tard,tutela judici,alternativo presentada,pobreza infantil,presidencia entiend,oportunidad mujer,fruta hortaliza
8,padr alumno,preciso continuemo,racion medicamento,plan pago,transitoria derogatoria,seccion sindical,servicio portuario,portavoc presidencia,desea intervenir,seguridad nacion,lucha incendio,piensa tomar,ciento cultur,consejo supremo,consumido tiempo,centrista pausa,director infraestructura,mercado alquil,reforma impuesto,seguridad justicia,comunidad universitaria,mercado internacional,miembro guardia,pedimo separada,tribun superior,proyecto vien,tiempo parcial,motivo pausa,libertad terrorismo,portavoc conformidad
9,sostenido fondo,proyecto nombr,producto sanitario,presupuestaria sostenibilidad,lengua ofici,convalidado proyecto,termin minuto,debe terminar,pausa quiera,jura promet,agua residual,derivado debat,formula excmo,plan derecho,plural nuet,error diario,frontera francesa,alquil vivienda,reforma tributaria,futuro europa,escuela universitaria,comercio mundial,civil cuerpo,pasamo formulada,justicia gratuita,contenido proyecto,contrato tiempo,interior comparecencia,pacto libertad,estructura agraria
