,Topic 1:,Topic 2:,Topic 3:,Topic 4:,Topic 5:,Topic 6:,Topic 7:,Topic 8:,Topic 9:,Topic 10:,Topic 11:,Topic 12:,Topic 13:,Topic 14:,Topic 15:,Topic 16:,Topic 17:,Topic 18:,Topic 19:,Topic 20:,Topic 21:,Topic 22:,Topic 23:,Topic 24:,Topic 25:,Topic 26:,Topic 27:,Topic 28:,Topic 29:,Topic 30:
0,sistema educativo,alto cargo,presupuesto general,estabilidad presupuestaria,disposicion adicional,vaya concluyendo,seguridad nuclear,interpelacion urgent,junta portavoc,consejo seguridad,medio ambient,corporacion local,ceuta melilla,tribun cuenta,asunto exterior,unido podemo,alta velocidad,plan vivienda,impuesto renta,consejo europeo,texto dictamen,producto interior,guardia civil,congreso formula,tribun constitucion,texto alternativo,puesto trabajo,vaya terminando,hombr mujer,fuerza armada
1,relacion cort,seguridad vial,sistema nacion,sistema financiero,ocupa presidencia,libertad sindic,central nuclear,pequeña mediana,senado proyecto,comunidad internacion,plan nacion,desean fijar,ministerio cultura,derecho humano,aplauso banco,confeder unido,ministerio fomento,vivienda protegida,impuesto sociedad,parlamento europeo,mercado valor,interior bruto,cuerpo seguridad,minuto tard,poder judici,texto proyecto,reforma labor,permanent pertenecient,cultura deport,ministerio defensa
2,calidad enseñanza,ocupen escaño,nacion salud,entidad financiera,disposicion transitoria,central sindical,consejo seguridad,mediana empresa,desean fijar,seguridad nacion,ministerio medio,persona discapacidad,nombr feder,derecho libertad,banco derecha,parqu nacion,transport ferroviario,consejo superior,poder adquisitivo,comunidad europea,nacion mercado,mismo tiempo,ministerio interior,ministerio trabajo,tribun supremo,hace referencia,mercado trabajo,extraordinaria pleno,igualdad oportunidad,servicio militar
3,igualdad oportunidad,debat totalidad,presupuesto ministerio,fiscal financiera,consumidor usuario,estatuto trabajador,cort general,mocion consecuencia,fijar nombr,sido retirada,acuerdo dictamen,hacienda local,sido presentada,libertad enseñanza,ministerio asunto,tiempo minuto,plan director,vivienda alquil,renta persona,reino unido,reforma estatuto,sector privado,fuerza cuerpo,sanidad servicio,sentencia tribun,conform dictamen,mercado labor,convocatoria extraordinaria,lucha violencia,sector agrario
4,consejo escolar,sanidad consumo,ministerio sanidad,toda administracion,adicion tercera,procedimiento urgencia,presupuesto general,consecuencia interpelacion,asunto exterior,mañana mañana,medio rural,piensa adoptar,libertad religiosa,consejo europa,fondo reservado,medida urgent,autopista peaj,precio vivienda,fraud fiscal,asunto exterior,isla balear,largo plazo,fuerza seguridad,voluntaria embarazo,ministerio justicia,totalidad texto,crear empleo,acuerd convocatoria,programa elector,ministerio agricultura
5,comunidad educativa,gobernador civil,proyecto presupuesto,entidad local,lengua oficial,deseen fijar,autoridad portuaria,propiedad intelectu,convenio internacional,lucha terrorismo,incendio forestal,entidad local,reforma reglamento,in voce,quiero decirl,daño causado,estudio informativo,acceso vivienda,agencia tributaria,duda alguna,consejo universidad,fondo monetario,caja ahorro,trabajo seguridad,ministerio fiscal,texto legal,tasa paro,contestar nombr,mujer hombr,agricultura pesca
6,turismo comercio,totalidad proyecto,asistencia sanitaria,objetivo estabilidad,adicional transitoria,convenio colectivo,derecho asilo,trabajo asunto,conformidad dispuesto,desean intervenir,desarrollo sosten,fijar pausa,mardon nombr,defensa derecho,hace falta,parqu nacional,infraestructura transport,superior deport,presupuesto general,llegar acuerdo,reforma universitaria,monetario internacion,cuerpo nacion,pasamo debat,derecho fundamental,tan important,ministerio trabajo,responsabilidad limitada,violencia mujer,defensa nacion
7,cultura deport,hacienda administracion,incremento ciento,techo gasto,lengua cooficial,proyecto procedimiento,toda comunidad,defensa misma,directa lectura,juramento promesa,impacto ambient,medida piensa,resto dictamen,justicia militar,cualquier caso,texto refundido,contrato programa,materia vivienda,lucha fraud,hecho referencia,solo efecto,corto plazo,institucion penitenciaria,tard reanuda,audiencia nacion,alguna manera,tiempo parcial,congreso acuerd,malo trato,agricultor ganadero
8,censo elector,terminado debat,sistema sanitario,presupuesto general,cualquier caso,organizacion sindical,procedent senado,rumor protesta,exterior convenio,legalidad internacion,puesta marcha,municipio provincia,texto transaccion,penal militar,hace tiempo,adoptan medida,infraestructura ferroviaria,ministerio vivienda,reforma fiscal,conferencia intergubernament,ill balear,pequeña mediana,cuerpo fuerza,formula medida,juec magistrado,tener cuenta,activa empleo,sociedad responsabilidad,banda terrorista,organizacion agraria
9,puesto escolar,guarden ocupen,gasto corrient,pago proveedor,disposicion final,comision obrera,agencia efe,servicio univers,somet pleno,ayuda humanitaria,desarrollo rural,diputacion provincial,ciudad ceuta,inform tribun,consumo droga,daño producido,tren alta,familia numerosa,sistema seguridad,cualquier caso,reforma estatutaria,ciento producto,materia seguridad,central sindical,enjuiciamiento civil,mismo tiempo,prestacion desempleo,comparecencia urgent,terrorista eta,organizacion profesional
10,fracaso escolar,legislativa proyecto,ciento respecto,toda comunidad,debe concluir,sindicato representativo,responsabilidad civil,colegio profesional,proyecto medida,sadam husein,ministerio obra,presupuesto general,reglamento congreso,cort general,hecho referencia,reparar daño,catalana pausa,acced vivienda,impuesto valor,banco central,cualquier caso,medio plazo,seguridad privada,patrimonio sindic,enjuiciamiento crimin,cualquier caso,relacion laboral,presidencia entiend,quiero agradec,fruta hortaliza
11,industria turismo,escaño guarden,sanidad consumo,terminado tiempo,transitoria tercera,fijar debat,cualquier caso,mercado telecomunicacion,concluido debat,suspend mañana,puesto marcha,ent local,nombr proponent,respeto derecho,servicio exterior,previsto adoptar,plan infraestructura,mercado alquil,valor añadido,fondo estructural,sistema universitario,ciento pib,miembro fuerza,reabrir debat,derecho libertad,competencia comunidad,estatuto trabajador,motivo pausa,toda sociedad,profesional agraria
12,mejora calidad,vall lersundi,partida presupuestaria,sector financiero,lengua propia,eleccion sindical,marina mercant,sociedad estat,debat totalidad,mañana tard,conferencia sectori,finalizado debat,dirigida hacienda,europeo derecho,cosa dicho,espacio natural,transport terrestr,alquil vivienda,sistema fiscal,mismo tiempo,efecto indicar,mediana empresa,semana pasada,treinta minuto,superior justicia,ejercicio derecho,fomento empleo,interior comparecencia,empleo seguridad,militar obligatorio
13,sistema elector,proyecto nombr,ciento presupuesto,conjunto administracion,lengua ofici,transaccion transaccion,mismo tiempo,derecho autor,proyecto presupuesto,junta elector,poner marcha,pacto local,documento nacion,inform anual,secreto oficial,pasamo ahora,plan transport,ga natur,sistema tributario,tan important,estatuto gernika,media europea,ir terminando,veint minuto,defensa competencia,contenido proyecto,crecimiento empleo,miembro titular,transaccion presentada,carga trabajo
