,Topic 1:,Topic 2:,Topic 3:,Topic 4:,Topic 5:,Topic 6:,Topic 7:,Topic 8:,Topic 9:,Topic 10:
0,guardia civil,congreso formula,presupuesto general,puesto trabajo,tribun constitucion,texto alternativo,corporacion local,medio ambient,desean fijar,consejo europeo
1,sistema educativo,impuesto renta,fuerza armada,producto interior,poder judici,vaya concluyendo,cort general,interpelacion urgent,asunto exterior,quiero decirl
2,cuerpo seguridad,agencia tributaria,sistema nacion,interior bruto,tribun cuenta,estatuto trabajador,competencia comunidad,ministerio medio,junta portavoc,asunto exterior
3,ministerio interior,fraud fiscal,nacion salud,sistema financiero,tribun supremo,guardia civil,persona discapacidad,ministerio industria,senado proyecto,cualquier caso
4,fuerza cuerpo,ministerio agricultura,ministerio sanidad,mercado trabajo,sentencia tribun,central sindical,entrada vigor,plan nacion,debat totalidad,alta velocidad
5,alto cargo,sector agrario,presupuesto ministerio,reforma labor,derecho fundamental,mercado valor,toda comunidad,pequeña mediana,ministerio fiscal,parlamento europeo
6,igualdad oportunidad,impuesto sociedad,proyecto presupuesto,estabilidad presupuestaria,derecho libertad,fuerza armada,competencia exclusiva,mediana empresa,plan vivienda,hecho referencia
7,hombr mujer,renta persona,ministerio defensa,presupuesto general,derecho humano,totalidad texto,entidad local,texto dictamen,vaya terminando,duda alguna
8,cultura deport,ocupen escaño,asistencia sanitaria,poder adquisitivo,unido podemo,libertad sindic,ceuta melilla,acuerdo dictamen,vivienda protegida,llegar acuerdo
9,fuerza seguridad,valor añadido,incremento ciento,pequeña mediana,disposicion adicional,convenio colectivo,hace referencia,ministerio fomento,fijar pausa,hace falta
10,conform dictamen,impuesto valor,servicio militar,mediana empresa,confeder unido,nacion mercado,competencia materia,defensa competencia,fijar nombr,tan important
11,puesto trabajo,lucha fraud,sistema sanitario,crear empleo,ejercicio derecho,organizacion sindical,presupuesto general,turismo comercio,tiempo minuto,derecho humano
12,cuerpo nacion,agricultura pesca,gasto corrient,mercado labor,audiencia nacion,puesto trabajo,mismo tiempo,medio rural,totalidad proyecto,mismo tiempo
13,seguridad vial,piensa adoptar,poder judici,entidad financiera,cualquier caso,consejo universidad,tener cuenta,mocion consecuencia,sido retirada,consejo seguridad
14,minuto tard,base impon,ministerio justicia,reforma estructural,ocupa presidencia,procedimiento urgencia,municipio provincia,consecuencia interpelacion,permanent pertenecient,comunidad internacion
15,relacion cort,sanidad consumo,instituto nacion,mismo tiempo,enjuiciamiento crimin,comision obrera,seguridad nuclear,directiva comunitaria,convenio internacional,reino unido
16,calidad enseñanza,medida piensa,sanidad consumo,tasa paro,ministerio fiscal,ministerio trabajo,hecho referencia,impacto ambient,vivienda alquil,hace tiempo
17,malo trato,seguridad vial,juec magistrado,reforma fiscal,derecho ciudadano,relacion laboral,territorio nacion,propiedad intelectu,precio vivienda,resolv problema
18,toda sociedad,medida urgent,partida presupuestaria,banco central,superior justicia,deseen fijar,parqu nacion,empresa privada,conformidad dispuesto,comunidad europea
19,lucha violencia,agricultor ganadero,ciento respecto,largo plazo,derecho comparado,derecho huelga,reforma estatuto,comercio exterior,desean intervenir,semana pasada
