,Legislatura: I - neg,Legislatura: I - pos,Legislatura: II - neg,Legislatura: II - pos,Legislatura: III - neg,Legislatura: III - pos,Legislatura: IV - neg,Legislatura: IV - pos,Legislatura: V - neg,Legislatura: V - pos,Legislatura: VI - neg,Legislatura: VI - pos,Legislatura: VII - neg,Legislatura: VII - pos,Legislatura: VIII - neg,Legislatura: VIII - pos,Legislatura: IX - neg,Legislatura: IX - pos,Legislatura: X - neg,Legislatura: X - pos,Legislatura: XI - neg,Legislatura: XI - pos,Legislatura: XII - neg,Legislatura: XII - pos,Legislatura: XIII - neg,Legislatura: XIII - pos
0,excus asistent,comp ñer,pa sam,program electoral,ara gon,preced uso,correspondient enmiend,defens numer,hab sid,cre comision,honor present,termin debat,rueg conclu,comunicaci nes,constanci diari,senador urruti,doy formul,pon valor,vay finaliz,recort derech,num pag,comprom mare,pag factur,senador navarret,jur aplaus,ejempl parlament
1,sid objet,institut nacional,abril 1984,dic dic,agu jurisdiccional,dan aprob,vay finaliz,gra cias,ñor ministr,sid objet,nombr popul,rueg conclu,gra cias,defend enmiend,hor semanal,alter nativ,popul clar,portavoz popul,mocion originari,grand electr,diput provincial,person refugi,aplausos rumor,senador dominguez,articul reglament,ejempl ocasion
2,titul personal,1979 num,seguid proced,dar respuest,pid permis,centr democrat,permis defend,cre exces,respons bles,cre pud,plaz present,senador cambr,correspond ahor,termin quier,solicit apoy,comision reun,sub impuest,quier pon,nombr popul,inclus cas,senador pod,sanid universal,acept ningun,ven cam,ministr qu,ejempl oblig
3,miend numer,puest trabaj,resolv problem,mos quier,satisfac deud,entra mos,portavoz centr,pue den,rueg vay,medi rural,produccion agrari,recort derech,arroy hodgson,rent baj,popul defend,po blacion,popul apoy,der chos,rechaz enmiend,amnist fiscal,entidad local,algun form,popul present,poder public,mar teres,ejempl ocurr
4,españ line,present proposicion,pas seguid,dis ño,const acta,agrup senador,portavoz parlament,portavoc des,defens senador,articul setent,nuev proyect,electoral popul,tiemp minut,numer parlam,inform cion,14 marz,popul consider,cuestion ningun,mixt vet,comision presupuest,puest march,oportun perd,vet present,defens enmiend,num pag,ejempl paradigmat
5,retir do,pro blem,agrup presi,proyect trat,pre sident,algun maner,sent seccion,entram debat,efect ment,ciert med,cre riquez,vasc senador,rechaz enmiend,ped separ,acuerd grup,prometoel prest,escañ popul,llev acab,cierr debat,clas medi,junt preparatori,sincer parec,nombr popul,nombr ministr,guerr civil,ejempl palpabl
6,criteri ponder,vari ocasion,mos proced,transaccional seccion,tra ta,senador dorreg,uso portavoz,formul senador,poder public,ningun problem,agradec ministr,modific articul,cas españ,formul termin,popul apoy,qui sier,empez dic,respect numer,senador interpel,ministr aplaus,exposicion motiv,administr local,redund benefici,senador garr,comunitat valencian,ejempl pag
7,rio ebro,algun maner,mu chas,objet text,dese const,gra cias,particul centr,cos dich,abrim portavoc,termin moment,gobi anterior,senador aliert,expon interpel,portavoz popul,dent ministr,buen trabaj,grav crisis,lin actuacion,iglesi vasc,tan siqu,francisc javi,aplausos rumor,pabl iglesi,popul ciudadan,mocion habl,ejempl pact
8,13 may,tod seri,principi legal,sol apart,ello termin,exist moment,unas enmiend,ningun problem,termin minut,com part,nom bre,termin pre,rueg vay,plant debat,cam alta,proteg derech,termin pre,buen camin,numer firm,quinter zerol,text mocion,defens enmiend,maner plen,trabaj pobr,excelentisim manuel,ejempl organiz
9,general produccion,ar ticul,ver dad,preocup senador,alu sion,pre gunt,ped separ,mocion numer,iw num,num 55,trabaj asunt,articul proyect,replic senador,uso senador,portavoz entes,ahor aplaus,sector product,pon dud,puebl navarr,senador ibarrond,marian rajoy,senador alegr,ministr aplaus,senador iparragirr,consider convenient,ejempl pa
10,ministeri fiscal,vuelv repet,particul numer,gan eleccion,entonc pas,garc roy,portavoz senador,dent veni,popul present,har senador,utiliz termin,mejor situ,mu chas,ade lant,deb exig,magn fic,ultim intervencion,pro ductiv,rechaz numer,eur men,15 marz,senador yangu,ministeri educ,ir termin,ruth goñi,ejempl organ
11,general aragon,cort general,des interven,autonom canari,cion democrat,mu senador,dad sol,numer converg,senador aleu,general sen,quier felicit,popul senador,ministr doy,defend numer,reform financi,qu actuacion,juroel prest,derech ciudadan,contrat temporal,diput modific,alli gobiern,defens derech,declar institucional,vasc senador,cient treint,ejempl oper
12,dictam articul,1982 num,contribu rustic,manten text,vot apart,dan rechaz,uni correspondient,inclu particul,pas debat,mism debat,objet prioritari,defens enmiend,senador arjon,pedr jos,nombr popul,respect enmiend,francisc javi,sent orgull,cazalis entes,pon evident,dram human,senador river,oblig defend,portavoz popul,tecnic presupuestari,ejempl oficin
13,mutual general,ten cuent,correspond numer,pod acept,hic mism,nacional vasc,separ enmiend,sident senador,soci dad,firm grup,autonom ahor,vay conclu,romer caler,trec hor,rest enmiend,cion sid,merc trabaj,estimul econom,president montill,reanud diecis,dej clar,muchisim senador,revert situacion,enmiend senador,cuarent años,diput permanent
14,dentr tem,ultim años,pes hab,transaccional articul,pro voc,cias senador,popul pro,pregun ta,senador gran,posi blement,prin cipal,senador calv,interpel nombr,vay termin,present enmi,interveng brevement,present mocion,cul tur,senador manch,doy defend,ceut melill,senador popul,merec reconoc,pas portavoc,buen tard,consum alcohol
15,nacional histor,senador bole,doy defend,senador padron,ministeri dic,sen dor,senador bayon,conclu debat,acab manifest,ciudadan ciudadan,agra dec,particul numer,moment oportun,sector sol,veni presi,articul 87,poder public,caract general,pas portavoc,comenz debat,pod acept,vasc senador,comunitat valencian,sen senador,proced llamamient,sen senador
16,pas text,so bre,defens enmiend,cre dich,termin clar,to das,popul correspondient,dent brev,ministr asunt,senador jos,tec nic,chas senador,rechaz numer,sincer ment,escañ parlament,part ahi,territori nacional,habl polit,aquell part,educ ciudadan,diput permanent,democraci libert,region ultraperifer,mare senador,miguel angel,castill leon
17,utiliz portavoc,minis teri,perdon senador,cualqui cas,dieron defend,mu chas,pas portavoc,cias senador,senador galan,opon enmiend,pued asegur,pas mos,finaliz portavoc,esper respuest,hidrolog nacional,regul cion,qu med,senador senador,represent popul,portavoz popul,alta veloc,senador castill,termin ensegu,num exp,consejer consejer,11 septiembr
18,trat extradicion,1980 num,articul 87,opon enmiend,asum comision,gru po,portavoz sen,gra senador,senador ferr,valor hac,cre import,portavoz popul,re chaz,entes senador,ma nifest,vuelt text,ministr econom,vot particular,vay acab,doy formul,pas hag,prometonum pag,destin turist,popul senador,treint dias,victim dictadur
19,sab pued,198o num,direct ment,popul pod,provinci almer,chas senador,portavoz uni,replic senador,popul senador,articul 31,quier agradec,cias senador,pronunci relacion,creid entend,sistem financi,portavoz popul,escañ popu,articul 87,segu trabaj,termin inmediat,pas hac,vay termin,fij popul,vay termin,pas impuls,promet aplaus
